,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,2.4325968742370607,0.9928297699823099,0.010611867904663086,0.0010495253618603053,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.6478321935944372,0.5888574213503412,0.6831213141075121,0.6801880384104732,0.6539969740945439,0.6507643286113122,0.033965761237819074,352,0.6738816665823596,0.6076129293338054,0.67411065634495,0.6651070560593902,0.6787125178715404,0.6598849652384091,0.026504303968520087
1,3.28153715133667,0.8592237757111668,0.011149215698242187,0.0013895556650199744,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.6528362997244672,0.6396160960297177,0.6809136381881618,0.6862166918825453,0.633047210300429,0.6585127758508988,0.02147405326847294,345,0.6709036996355526,0.6558182724756654,0.6726030006869599,0.6596873851458875,0.6685096241732909,0.6655043964234713,0.006576209680806895
2,2.6132609844207764,0.7889643390028829,0.013226127624511719,0.0025392064846560263,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.6545132892787794,0.6757615528079023,0.7180890480748445,0.6893120696575785,0.6820483527341216,0.683924661177168,0.020647651558012157,303,0.7010538385013574,0.6883155204516933,0.6861007040857756,0.6872730578951318,0.6963175486500373,0.6918121339167991,0.005850774531910522
3,2.650529623031616,0.7780826676411519,0.01115870475769043,0.001239515882365758,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.6724574612603902,0.6778798554028229,0.6800954086516192,0.7174252014697254,0.6818322166301292,0.6859264611530219,0.016052245035555843,292,0.7007057706991949,0.6838523036307447,0.6804736944394734,0.6888610512987774,0.6886599664024661,0.6885105572941312,0.0068579718701818155
4,3.79451584815979,0.5148762969551156,0.01253199577331543,0.0013465527345445673,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.6903555831855894,0.709393444006969,0.7195711242165065,0.7249359310834591,0.700983419273165,0.7090380470913152,0.012472597584496013,220,0.7255951477662236,0.7212114204779491,0.72620078471216,0.7128767455419767,0.7217663335777139,0.7215300864152047,0.004761886503023105
5,4.627882099151611,0.9445480895294724,0.01267414093017578,0.0006767544423779057,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.6884943934056319,0.7219382468743525,0.7245268163151881,0.742481551239695,0.7127551177941764,0.7180254518658885,0.01764228111442358,143,0.7071258752881495,0.7384418606331703,0.7258991573676928,0.7224023006421246,0.7345275274639633,0.7256793442790201,0.010919621914256267
6,5.050214099884033,1.308537736552938,0.012544965744018555,0.0012446370182134512,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.6942429754476449,0.7341338368139503,0.6921218390094791,0.7043335288850462,0.7095671102602895,0.7068877082960077,0.015067710287493988,228,0.7326526138807995,0.7397242917603077,0.6990427781658364,0.7060028171128057,0.7354718567736745,0.7225788715386848,0.016675659262566873
7,3.251274013519287,0.5900561662970585,0.012665891647338867,0.00027344424635098325,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.6763678785506513,0.7161436147759281,0.7032914440979404,0.7507487572174019,0.7069811961589525,0.7106910563218323,0.024004568318868897,210,0.7182987312988831,0.7169727013674609,0.7196688930324564,0.7249144186529813,0.7213636827207459,0.7202436854145055,0.0027525519933816675
8,5.015556764602661,1.8185518706401729,0.012892532348632812,0.0010628862452478117,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.680650533796904,0.7147007130083736,0.7216244172044337,0.7532420415598851,0.7044879118164696,0.7149225783643512,0.023651429324634543,180,0.7250445020944287,0.7285153041438135,0.7388614361502537,0.7468937675227687,0.7238892705332695,0.7326408560889067,0.008867424916398945
9,4.21272120475769,1.1841551527452465,0.013288211822509766,0.0017708872174395645,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.6914262469971525,0.715422163892151,0.7368002593633247,0.7698073301015839,0.7426668107574025,0.7311947014739043,0.026402431537694546,56,0.7381882167607294,0.7235953838260482,0.7496069704299368,0.7483475439740918,0.7589521264006189,0.7437380482782852,0.012030689356915087
10,6.21925950050354,3.0916815629224654,0.01739945411682129,0.002195577495551899,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.6673842800457431,0.7483786542638516,0.7205205792447587,0.7255689011022941,0.7113965479976532,0.7146425225787914,0.02661276785529424,186,0.7153860421198174,0.7516002688191468,0.7721352137176459,0.7288399037101606,0.7629444794017868,0.7461811815537115,0.02113313501163725
