,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.7668085098266602,0.07008213406633995,0.017674875259399415,0.001591486411655069,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.5,0.5,0.5,0.5,0.5000000000000001,0.5,4.955167861336338e-17,365,0.5,0.49860139860139857,0.5,0.5000000000000001,0.49999999999999994,0.49972027972027977,0.0005594405594405771
1,1.0182302951812745,0.16856114388031834,0.028793525695800782,0.018816689966485813,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.5697558735746538,0.561064556176288,0.5665735567970204,0.5763112973308505,0.5220037453183521,0.5591798553440196,0.01918624475833061,247,0.5384591103341103,0.5473032158153265,0.5500641227284825,0.5876860164057396,0.5604593957201678,0.5567943722007653,0.016966356204532112
2,1.4721815586090088,0.34800712427890146,0.02554292678833008,0.016320728897895674,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.5763373383332058,0.5720825574177529,0.5790270018621975,0.5443047796399751,0.5329275905118602,0.5609704429934934,0.018695526291236268,239,0.5665501165501166,0.6077479613811794,0.5745444866552133,0.5697219735282019,0.5701102820359165,0.5777349640301256,0.01522106278366914
3,1.0115629196166993,0.29864260458182085,0.024135446548461913,0.008824792214035496,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.5545266702380043,0.5319289261328368,0.5486111111111112,0.508147113594041,0.5137328339575532,0.5314218360555384,0.018357861477829664,322,0.5367715617715617,0.5283083698308613,0.5331308829578727,0.5838580105016091,0.5463165220080803,0.5456770694139971,0.01998289142304645
4,1.2493172645568849,0.4174214166888711,0.01915593147277832,0.0022128550224923375,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.5243361138746462,0.5,0.5429469273743016,0.5055090006207325,0.5317571785268416,0.5209039308803782,0.016056290978915994,344,0.5464646464646465,0.5017301038062284,0.560076947274179,0.5528250296416386,0.5559988208231041,0.5434191096019594,0.021314091681949438
5,1.957770538330078,0.46604622014208547,0.01809659004211426,0.0015597290644239984,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.6389760465294253,0.6095204841713222,0.6649208566108008,0.573518001241465,0.6217228464419475,0.621745394568783,0.030454980372229514,48,0.6317744755244755,0.6764754276865004,0.6677886127713117,0.6001645413410119,0.6620135895304557,0.647643329370751,0.02810580918174351
6,1.0449421882629395,0.19120737336246318,0.02227940559387207,0.011106777882079122,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.6242825438126578,0.5833333333333333,0.5874068901303537,0.5499689633767846,0.5150593008739077,0.5720972367778686,0.03694541001227043,205,0.6026223776223776,0.5614755486727806,0.5642727514699831,0.5694267670046217,0.5777918462817266,0.5751178582102978,0.014830821077291658
7,1.1282875537872314,0.40452654254061843,0.01865811347961426,0.0003705211399044338,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.6514119537766894,0.6123137802607076,0.5858162631905649,0.5304934823091247,0.546972534332085,0.5854848214347464,0.043783422512204885,161,0.6275786713286714,0.6456650615820166,0.5705350013308491,0.5845936070849566,0.5936648238000425,0.6044074330253072,0.027908533386373717
8,1.5266519069671631,0.624046361833112,0.016759395599365234,0.0020856294386706214,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.5327160021428026,0.6040890751086282,0.5055090006207325,0.5304934823091247,0.49157303370786526,0.5329089020196115,0.03879456114260104,321,0.5693958818958819,0.6078205531492729,0.5044547148353377,0.576714980521209,0.5051274864201349,0.5527027233643672,0.041193442907918154
9,1.7020067691802978,0.380142661391728,0.019330501556396484,0.0017308321844408659,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.5629065585061607,0.6179003724394785,0.5624224084419615,0.5776691495965238,0.5454900124843947,0.5732915780196176,0.024516820680960782,194,0.5509736790986791,0.6377864350182689,0.5562852372540954,0.6174655794032957,0.6254736038352245,0.5975969069219127,0.03651698774262993
10,1.0417787075042724,0.338802153622189,0.02106485366821289,0.0033347735118693543,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.5859799494910845,0.5471756672873991,0.5096601489757914,0.504151148355059,0.5509519350811486,0.5396116806065507,0.029994761763211593,304,0.5933153651903652,0.5414498995813876,0.5071793258644469,0.5152031359643817,0.6233786317681854,0.5561052716737533,0.04514822000477729
