,0,1,2,3,4,5,6,7,8,9
2,0.6697927932182998,0.5926094095569837,0.49916767924850874,0.5845190970133136,0.5717124476724114,0.4342182084314658,0.6791946079270325,0.3976939568433308,0.705804680388069,0.2391350873095088
3,0.8136738944535915,0.5247855430767986,0.6292512353989033,0.727416827475402,0.7500803990220354,0.647753610403038,0.6234925304155251,0.7530334217404302,0.775536748894471,0.3563820278334217
4,0.8486659635042068,0.7008590807292667,0.6675948119117106,0.6608098631634055,0.5298940140044431,0.7414206401659319,0.7788646160699948,0.669046669814145,0.7911454299420169,0.7339132417749484
5,0.8395883848063896,0.6662660307917674,0.8014519365967895,0.7913535462713976,0.7586506917666833,0.7253147636123964,0.7499409877434132,0.5479498471055125,0.8136729035612722,0.7733601754418635
6,0.7340223520275514,0.7621515106427597,0.8152294185774578,0.7575642988056039,0.8647880738581286,0.8524035711112936,0.7703962643677335,0.694476466734728,0.8371137345047948,0.8772315442776183
7,0.8464397744095714,0.7556244859286353,0.8302763574611771,0.7631803599478619,0.8457619891408671,0.8088189620443438,0.7769955399194902,0.8157346658053523,0.8192284682422122,0.7561229781562081
8,0.8614875935160445,0.7963081211186084,0.819793639446206,0.8449905473312066,0.9048080981194663,0.8690744644700654,0.8407545891808762,0.7971521501794396,0.8164532896176647,0.8165379939544491
9,0.8553483430673594,0.8588376076395032,0.8674152019022909,0.8757744158341696,0.8895657481265162,0.8612285616010912,0.8421856094568362,0.8150502796873486,0.889774271841659,0.8876992271676332
10,0.878984509219865,0.8295094890743546,0.8703095636439397,0.8325715764038221,0.9146798418271662,0.8367455311496091,0.8438658224783782,0.8354676561562544,0.9140527950571022,0.877772408586822
15,0.9344862557271224,0.9226391136703019,0.9304688515993411,0.8876604271263445,0.873221329421957,0.9229206553294229,0.9126112637318587,0.8397286359835724,0.9241421940372032,0.9359143633502823
20,0.9027804033447395,0.9254819132332117,0.9273379645952116,0.9357268608321775,0.9195824202743039,0.9077932702156624,0.8858653035114374,0.9342370625366894,0.9366080859288409,0.9539036573007615
25,0.9645016434741458,0.9272272007263829,0.943494715604147,0.9656008526481727,0.9407248121184885,0.9491181804193681,0.9333972278414375,0.9235950524181357,0.922447344729882,0.935394773153144
30,0.9519701676015069,0.934977751474681,0.9624670563323282,0.9341115772254117,0.9651096926263893,0.9577874498922119,0.9387473742553207,0.9119373649642568,0.9617319290407335,0.9441657359752645
35,0.9529990949957915,0.9360339077161091,0.9449682830567547,0.9713797891687862,0.9517593886507373,0.9562167845594957,0.9696147618791823,0.9603761337234625,0.966276964492269,0.9608922535156168
40,0.9635440635180834,0.9551173310149718,0.9668421631824019,0.9650468350981523,0.9137752193258946,0.9663434515590241,0.9664130902548934,0.9651451406429677,0.9535627893747094,0.9573651440246588
45,0.9778018208399505,0.9587545435505945,0.9682196113489743,0.9389529490343989,0.9756812641725155,0.9729040649168343,0.9436142058030752,0.9734741299812267,0.9696551859434713,0.9324555174270114
50,0.976313913620407,0.9643928391475219,0.9721654097560389,0.9652948350651437,0.9752576163510674,0.9490381378681265,0.959990267057247,0.9487505986754294,0.9719605359161396,0.9576378229583241
55,0.9703256162611263,0.9539921542437979,0.9657055316087394,0.9677541311166782,0.9756215422132889,0.9596291116338129,0.968166750937876,0.9789106761137291,0.9811874863657986,0.9714090035936745
60,0.9780489589472131,0.9673028987339571,0.9769393301963226,0.9585952409452165,0.9585154164641544,0.9505636903073239,0.9648772219302857,0.9755430904399334,0.9838917999294733,0.9739345867724352
