,0,1,2,3,4
170,0.7331759149940967,0.7019658487587889,0.7019658487587889,0.7019658487587889,0.7019658487587889
360,0.7395740905057675,0.7360642859480869,0.7360642859480869,0.7360642859480869,0.7360642859480869
550,0.7383788341941605,0.7315209969272789,0.7315209969272789,0.7315209969272789,0.7315209969272789
740,0.7409965728494426,0.7352564102564103,0.7352564102564103,0.7352564102564103,0.7352564102564103
931,0.7392069486404834,0.741902384914032,0.747653528416443,0.747653528416443,0.747653528416443
1121,0.737296439655473,0.741677081951417,0.7312030075187969,0.7312030075187969,0.7312030075187969
1311,0.7334501567493378,0.7333425340214436,0.7379715774706381,0.7379715774706381,0.7379715774706381
1501,0.7353663314365699,0.733849618111554,0.7373285542777952,0.7373285542777952,0.7373285542777952
1691,0.7390302649492094,0.7429244647906288,0.739348280585394,0.737417546024516,0.737417546024516
1882,0.7393330742701705,0.7414181279448194,0.743098800213727,0.7372777728963478,0.7372777728963478
2072,0.7415423216826346,0.746741199334816,0.7458105427661238,0.7426817923536835,0.7426817923536835
2262,0.7376869069873633,0.740560361464932,0.738813331416015,0.7394353424823167,0.7394353424823167
2452,0.7395011894382191,0.7425718417096334,0.73834009680556,0.7368085880640465,0.7368085880640465
2643,0.7361046579698178,0.7413800753014833,0.7388548258884281,0.7391234956649269,0.7373200669358954
2833,0.7337175270152841,0.7411490625283214,0.735743073584996,0.7403211446910367,0.7422234160839908
3023,0.7348626471303729,0.7413955631654784,0.737057907146466,0.7416699414285446,0.7421046399512831
3213,0.7382368049312958,0.7416196741854638,0.7383693609022558,0.742859753550543,0.7381837858372885
