param_SVM__max_iter,train acc,test acc
1,0.4656155362093376,0.46290958737864085
2,0.4378120012426691,0.42691899271844663
4,0.44453047740784923,0.4121283373786409
8,0.44836757392576715,0.4083927487864079
16,0.4231205223004555,0.38802715412621364
32,0.45077465239652525,0.41413834951456324
64,0.45850101856177655,0.4258002123786409
128,0.4781714741043415,0.4657539441747574
256,0.6707128509532267,0.6351827973300971
512,0.656037972552191,0.5872648665048544
1024,0.6536166650461377,0.5872648665048544
2048,0.6536166650461377,0.5872648665048544
4096,0.6536166650461377,0.5872648665048544
8192,0.6536166650461377,0.5872648665048544
16384,0.6536166650461377,0.5872648665048544
32768,0.6536166650461377,0.5872648665048544
