param_SVM__max_iter,train acc,test acc
1,0.49892968525150166,0.49874371859296474
2,0.5003144654088051,0.4999999999999999
4,0.5029571072013287,0.5037688442211055
8,0.49239055046780555,0.4886481959346279
16,0.5160410385615272,0.534500580982993
32,0.5180566368007095,0.5140416798708255
64,0.5178275701000722,0.5314523065779346
128,0.5154147027322867,0.5264083178656042
256,0.5610338905481088,0.5700122232785548
512,0.5191276592733088,0.5253972565530354
1024,0.5962993106767257,0.6242926343428856
2048,0.619724270690314,0.6249339792053358
4096,0.7050769767913677,0.7126133671359801
8192,0.7182901857539856,0.7262023329862525
16384,0.7183071711324057,0.726968174204355
32768,0.7201939635852358,0.7274737048606394
