param_SVM__max_iter,train acc,test acc
1,0.5,0.4999999999999999
2,0.5,0.4999999999999999
4,0.5,0.4999999999999999
8,0.5,0.4999999999999999
16,0.5,0.4999999999999999
32,0.5,0.4999999999999999
64,0.5,0.4999999999999999
128,0.5,0.4999999999999999
256,0.5054388597149287,0.5075075075075074
512,0.6325487032135393,0.6227722697571944
1024,0.7208950822611312,0.7062036911283142
2048,0.7821179351441634,0.7485814960689331
4096,0.7755634663382825,0.7513241885101181
8192,0.7755634663382825,0.7513241885101181
16384,0.7755634663382825,0.7513241885101181
32768,0.7755634663382825,0.7513241885101181
