param_SVM__max_iter,train acc,test acc
1,0.5,0.5000000000000001
2,0.5,0.5000000000000001
4,0.5,0.5000000000000001
8,0.5,0.5000000000000001
16,0.5,0.5000000000000001
32,0.5,0.5000000000000001
64,0.5,0.5000000000000001
128,0.5,0.5000000000000001
256,0.4840184218576954,0.4419751213592234
512,0.4870515778814389,0.44191823422330107
1024,0.7328925494399691,0.6878033980582524
2048,0.7321716116516828,0.6926577669902912
4096,0.7321716116516828,0.6926577669902912
8192,0.7321716116516828,0.6926577669902912
16384,0.7321716116516828,0.6926577669902912
32768,0.7321716116516828,0.6926577669902912
