,train,test
0.1,0.031173999999998613,0.0018210000000181026
0.2,0.06090159999998832,0.0017696000000000823
0.3,0.08819920000000821,0.0017703999999980624
0.4,0.1187571999999932,0.0014494000000127016
0.5,0.15689340000001267,0.0012380000000121072
0.6,0.1835150000000226,0.0011126000000103887
0.7,0.23213279999998804,0.0009461999999984983
0.8,0.26357819999999493,0.0008165999999960149
0.9,0.302780400000006,0.0006658000000015818
