param_MLP__max_iter,train acc,test acc
1,0.5,0.5000000000000001
2,0.6923967149900515,0.7247989987864077
4,0.6702658220943718,0.6735247269417476
8,0.6517799337401258,0.6503147754854369
16,0.7296696729456239,0.6967346783980582
32,0.6945203985078486,0.6124279429611651
64,0.7832502911023471,0.7226752123786407
128,0.7832502911023471,0.7226752123786407
256,0.7832502911023471,0.7226752123786407
512,0.7832502911023471,0.7226752123786407
1024,0.7832502911023471,0.7226752123786407
2048,0.7832502911023471,0.7226752123786407
2100,0.7832502911023471,0.7226752123786407
2200,0.7832502911023471,0.7226752123786407
2300,0.7832502911023471,0.7226752123786407
2400,0.7832502911023471,0.7226752123786407
2500,0.7832502911023471,0.7226752123786407
2600,0.7832502911023471,0.7226752123786407
2700,0.7832502911023471,0.7226752123786407
2800,0.7832502911023471,0.7226752123786407
2900,0.7832502911023471,0.7226752123786407
3000,0.7832502911023471,0.7226752123786407
