mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0073836326599121095,0.00042297655669835244,0.001515817642211914,0.0001992658725083709,1,{'SVM__max_iter': 1},0.46303261827799,0.45071462319867706,0.469495629577132,0.5169177427068388,0.45564323290291725,0.47113401369254426,0.023729447694002627,11,0.47307263814616757,0.466866955973443,0.45777048329067904,0.5677890891072267,0.4729538840426436,0.487690610112032,0.04043627356142515
0.008259391784667969,0.0006270194068109622,0.001485443115234375,0.00020117412160876435,2,{'SVM__max_iter': 2},0.378136937995886,0.4569454287739192,0.5132589180250413,0.46724055475848875,0.49832615973218547,0.46269467644243356,0.047028073327066516,14,0.4446969696969697,0.429017840584548,0.48885427098401385,0.5102116282767623,0.4667174505504258,0.46789963201854395,0.02926074749037691
0.01033644676208496,0.0013246014727576094,0.0016934871673583984,0.000256606052296572,4,{'SVM__max_iter': 4},0.4235968263297091,0.47664186156390265,0.4892215922513583,0.4486489717838355,0.5178144428503108,0.47113475161318125,0.032570344093887135,10,0.45728609625668454,0.4367901784058454,0.44677126219353874,0.45834735436920127,0.46778613082273585,0.4533962044096012,0.010642979711372789
0.015035295486450195,0.0011397045967573285,0.0021109580993652344,0.0001789557212725983,8,{'SVM__max_iter': 8},0.4557155451072583,0.469909047956532,0.4442771084337349,0.4456001912960305,0.5130320420851268,0.4656808386484714,0.02535366567726878,13,0.47664884135472374,0.42380104595526863,0.43749119097956296,0.4708997252493278,0.46430829761821113,0.45462982023141885,0.020432160732773066
0.021874380111694337,0.0011078815529146893,0.0022459506988525392,0.00023876714974916828,16,{'SVM__max_iter': 16},0.43376432559506317,0.4360087408457358,0.44560595322466323,0.43220946915351505,0.4909732185557149,0.4476832577785373,0.022103476814959517,16,0.46519607843137256,0.42499536367345414,0.42910129446237144,0.467305409592977,0.45178181172737936,0.4476759915775109,0.017711891537254148
0.03768153190612793,0.001992513813590491,0.0030701160430908203,0.0002974839481229475,32,{'SVM__max_iter': 32},0.4397884219806053,0.44672808882589177,0.442032837231278,0.4432089909134385,0.5043639406982305,0.455187803172775,0.02464776763477008,15,0.46941844919786097,0.43542338934015795,0.4369385408553094,0.4685293998010553,0.45677021895003084,0.4534159996288829,0.014771490898775339
0.06546311378479004,0.007854122033923298,0.0033636093139648438,0.000765068436495287,64,{'SVM__max_iter': 64},0.48125183661475174,0.4864457831325301,0.4725667375383888,0.4151123864179818,0.4860712577714013,0.46832332260513654,0.02702640910049041,12,0.47420900178253117,0.4534865175624049,0.4337654389673972,0.46979221749307576,0.44770677484126953,0.45579199012933574,0.01477191626412157
0.11699476242065429,0.0012377010412633234,0.004911613464355469,0.0008356134876718103,128,{'SVM__max_iter': 128},0.4317660887452248,0.5250413418379399,0.4839948027403732,0.4797345767575322,0.5043041606886658,0.4849212593878753,0.031146017921991884,9,0.50051247771836,0.4644430844553243,0.4617039427320944,0.5033114297019158,0.47069079640716344,0.48013234620297157,0.01804173785229077
0.22191643714904785,0.0012543251341673575,0.008388996124267578,0.0004165663168957816,256,{'SVM__max_iter': 256},0.6593300029385836,0.6705055516182377,0.5727911646586344,0.6376135820181732,0.6361788617886178,0.6352983524034287,0.03387134347828813,1,0.7192513368983957,0.6751993620414672,0.712786988613182,0.6798119270634958,0.7091007924504579,0.6992300814133997,0.018092050919038205
0.2816878318786621,0.005470688150859945,0.010248899459838867,0.00010705126950602716,512,{'SVM__max_iter': 512},0.5999706141639729,0.5937278525868178,0.5584987006850932,0.6023433763749404,0.6157340985174559,0.5940381558490153,0.01917058444005603,2,0.6486408199643493,0.65413560327881,0.6753477244909313,0.6572697992434187,0.6617626938138573,0.6594313281582733,0.009032374154895764
0.3128042697906494,0.0061844449415001486,0.010444211959838866,0.00018174505508434518,1024,{'SVM__max_iter': 1024},0.5999706141639729,0.5937278525868178,0.5584987006850932,0.6023433763749404,0.6096365375418461,0.5928220453615506,0.017907494634284947,3,0.6501559714795009,0.6547475983828491,0.6747357293868921,0.6593923683655848,0.6632732678319841,0.6604609870893622,0.008386361473776516
0.3084074020385742,0.008261137322988471,0.010763788223266601,0.0004506035859624478,2048,{'SVM__max_iter': 2048},0.5999706141639729,0.5937278525868178,0.5584987006850932,0.6023433763749404,0.6096365375418461,0.5928220453615506,0.017907494634284947,3,0.6501559714795009,0.6547475983828491,0.6747357293868921,0.6593923683655848,0.6632732678319841,0.6604609870893622,0.008386361473776516
0.30481529235839844,0.005640464766514918,0.010162067413330079,0.00024370724053573577,4096,{'SVM__max_iter': 4096},0.5999706141639729,0.5937278525868178,0.5584987006850932,0.6023433763749404,0.6096365375418461,0.5928220453615506,0.017907494634284947,3,0.6501559714795009,0.6547475983828491,0.6747357293868921,0.6593923683655848,0.6632732678319841,0.6604609870893622,0.008386361473776516
0.311143159866333,0.006172619667028653,0.010311651229858398,0.0002572513886035301,8192,{'SVM__max_iter': 8192},0.5999706141639729,0.5937278525868178,0.5584987006850932,0.6023433763749404,0.6096365375418461,0.5928220453615506,0.017907494634284947,3,0.6501559714795009,0.6547475983828491,0.6747357293868921,0.6593923683655848,0.6632732678319841,0.6604609870893622,0.008386361473776516
