,fpr,tpr,exp,clf,roc_auc
0,0.0,0.0015015015015015015,wine-qual,ANN,0.8281648482653508
1,0.0,0.13963963963963963,wine-qual,ANN,0.8281648482653508
2,0.002512562814070352,0.13963963963963963,wine-qual,ANN,0.8281648482653508
3,0.002512562814070352,0.17567567567567569,wine-qual,ANN,0.8281648482653508
4,0.005025125628140704,0.17567567567567569,wine-qual,ANN,0.8281648482653508
5,0.005025125628140704,0.18618618618618618,wine-qual,ANN,0.8281648482653508
6,0.007537688442211055,0.18618618618618618,wine-qual,ANN,0.8281648482653508
7,0.007537688442211055,0.21021021021021022,wine-qual,ANN,0.8281648482653508
8,0.010050251256281407,0.21021021021021022,wine-qual,ANN,0.8281648482653508
9,0.010050251256281407,0.23573573573573572,wine-qual,ANN,0.8281648482653508
10,0.01256281407035176,0.23573573573573572,wine-qual,ANN,0.8281648482653508
11,0.01256281407035176,0.27177177177177175,wine-qual,ANN,0.8281648482653508
12,0.01507537688442211,0.27177177177177175,wine-qual,ANN,0.8281648482653508
13,0.01507537688442211,0.28378378378378377,wine-qual,ANN,0.8281648482653508
14,0.017587939698492462,0.28378378378378377,wine-qual,ANN,0.8281648482653508
15,0.017587939698492462,0.2927927927927928,wine-qual,ANN,0.8281648482653508
16,0.020100502512562814,0.2927927927927928,wine-qual,ANN,0.8281648482653508
17,0.020100502512562814,0.2957957957957958,wine-qual,ANN,0.8281648482653508
18,0.02512562814070352,0.2957957957957958,wine-qual,ANN,0.8281648482653508
19,0.02512562814070352,0.30180180180180183,wine-qual,ANN,0.8281648482653508
20,0.02763819095477387,0.30180180180180183,wine-qual,ANN,0.8281648482653508
21,0.02763819095477387,0.33633633633633636,wine-qual,ANN,0.8281648482653508
22,0.032663316582914576,0.33633633633633636,wine-qual,ANN,0.8281648482653508
23,0.032663316582914576,0.36786786786786785,wine-qual,ANN,0.8281648482653508
24,0.035175879396984924,0.36786786786786785,wine-qual,ANN,0.8281648482653508
25,0.035175879396984924,0.3738738738738739,wine-qual,ANN,0.8281648482653508
26,0.04020100502512563,0.3738738738738739,wine-qual,ANN,0.8281648482653508
27,0.04020100502512563,0.3768768768768769,wine-qual,ANN,0.8281648482653508
28,0.04522613065326633,0.3768768768768769,wine-qual,ANN,0.8281648482653508
29,0.04522613065326633,0.38738738738738737,wine-qual,ANN,0.8281648482653508
30,0.04773869346733668,0.38738738738738737,wine-qual,ANN,0.8281648482653508
31,0.04773869346733668,0.3888888888888889,wine-qual,ANN,0.8281648482653508
32,0.05025125628140704,0.3888888888888889,wine-qual,ANN,0.8281648482653508
33,0.05025125628140704,0.4024024024024024,wine-qual,ANN,0.8281648482653508
34,0.052763819095477386,0.4024024024024024,wine-qual,ANN,0.8281648482653508
35,0.052763819095477386,0.40540540540540543,wine-qual,ANN,0.8281648482653508
36,0.05527638190954774,0.40540540540540543,wine-qual,ANN,0.8281648482653508
37,0.05527638190954774,0.4144144144144144,wine-qual,ANN,0.8281648482653508
38,0.05778894472361809,0.4144144144144144,wine-qual,ANN,0.8281648482653508
39,0.05778894472361809,0.4174174174174174,wine-qual,ANN,0.8281648482653508
40,0.06030150753768844,0.4174174174174174,wine-qual,ANN,0.8281648482653508
41,0.06030150753768844,0.43093093093093093,wine-qual,ANN,0.8281648482653508
42,0.06281407035175879,0.43093093093093093,wine-qual,ANN,0.8281648482653508
43,0.06281407035175879,0.4369369369369369,wine-qual,ANN,0.8281648482653508
44,0.06532663316582915,0.4369369369369369,wine-qual,ANN,0.8281648482653508
45,0.06532663316582915,0.43993993993993996,wine-qual,ANN,0.8281648482653508
46,0.0678391959798995,0.43993993993993996,wine-qual,ANN,0.8281648482653508
47,0.0678391959798995,0.44894894894894893,wine-qual,ANN,0.8281648482653508
48,0.07035175879396985,0.44894894894894893,wine-qual,ANN,0.8281648482653508
49,0.07035175879396985,0.4594594594594595,wine-qual,ANN,0.8281648482653508
50,0.0728643216080402,0.4594594594594595,wine-qual,ANN,0.8281648482653508
51,0.0728643216080402,0.4744744744744745,wine-qual,ANN,0.8281648482653508
52,0.07537688442211055,0.4744744744744745,wine-qual,ANN,0.8281648482653508
53,0.07537688442211055,0.4804804804804805,wine-qual,ANN,0.8281648482653508
54,0.07788944723618091,0.4804804804804805,wine-qual,ANN,0.8281648482653508
55,0.07788944723618091,0.4924924924924925,wine-qual,ANN,0.8281648482653508
56,0.0829145728643216,0.4924924924924925,wine-qual,ANN,0.8281648482653508
57,0.0829145728643216,0.496996996996997,wine-qual,ANN,0.8281648482653508
58,0.08542713567839195,0.496996996996997,wine-qual,ANN,0.8281648482653508
59,0.08542713567839195,0.5165165165165165,wine-qual,ANN,0.8281648482653508
60,0.08793969849246232,0.5165165165165165,wine-qual,ANN,0.8281648482653508
61,0.08793969849246232,0.5225225225225225,wine-qual,ANN,0.8281648482653508
62,0.09045226130653267,0.5225225225225225,wine-qual,ANN,0.8281648482653508
63,0.09045226130653267,0.539039039039039,wine-qual,ANN,0.8281648482653508
64,0.09296482412060302,0.539039039039039,wine-qual,ANN,0.8281648482653508
65,0.09296482412060302,0.5420420420420421,wine-qual,ANN,0.8281648482653508
66,0.09547738693467336,0.5420420420420421,wine-qual,ANN,0.8281648482653508
67,0.09547738693467336,0.5435435435435435,wine-qual,ANN,0.8281648482653508
68,0.09798994974874371,0.5435435435435435,wine-qual,ANN,0.8281648482653508
69,0.09798994974874371,0.551051051051051,wine-qual,ANN,0.8281648482653508
70,0.10301507537688442,0.551051051051051,wine-qual,ANN,0.8281648482653508
71,0.10301507537688442,0.5525525525525525,wine-qual,ANN,0.8281648482653508
72,0.10552763819095477,0.5525525525525525,wine-qual,ANN,0.8281648482653508
73,0.10552763819095477,0.5555555555555556,wine-qual,ANN,0.8281648482653508
74,0.11055276381909548,0.5555555555555556,wine-qual,ANN,0.8281648482653508
75,0.11055276381909548,0.575075075075075,wine-qual,ANN,0.8281648482653508
76,0.11306532663316583,0.575075075075075,wine-qual,ANN,0.8281648482653508
77,0.11306532663316583,0.5885885885885885,wine-qual,ANN,0.8281648482653508
78,0.11557788944723618,0.5885885885885885,wine-qual,ANN,0.8281648482653508
79,0.11557788944723618,0.5915915915915916,wine-qual,ANN,0.8281648482653508
80,0.12060301507537688,0.5915915915915916,wine-qual,ANN,0.8281648482653508
81,0.12060301507537688,0.6021021021021021,wine-qual,ANN,0.8281648482653508
82,0.12562814070351758,0.6021021021021021,wine-qual,ANN,0.8281648482653508
83,0.12562814070351758,0.6051051051051051,wine-qual,ANN,0.8281648482653508
84,0.12814070351758794,0.6051051051051051,wine-qual,ANN,0.8281648482653508
85,0.12814070351758794,0.6066066066066066,wine-qual,ANN,0.8281648482653508
86,0.13316582914572864,0.6066066066066066,wine-qual,ANN,0.8281648482653508
