mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.011962795257568359,0.004153126085137399,0.001374673843383789,3.7424092822334305e-05,1,{'SVM__max_iter': 1},0.5561797752808989,0.5532614723825031,0.5516625957261023,0.5452552892727766,0.48491982017062546,0.5382600020291551,0.0269051209298819,9,0.5567099720344083,0.5538157126555742,0.5562499447142389,0.5541325000663431,0.48704986333359873,0.5415915985608326,0.0272944550632888
0.010763788223266601,0.0006687331761974391,0.0013674259185791015,1.9297830138682745e-05,2,{'SVM__max_iter': 2},0.529944880220479,0.5236380048851287,0.5305350041889388,0.5031446540880503,0.4937637910486507,0.5162084951788563,0.014990137521233713,11,0.5301551972341203,0.529924523879026,0.5293799591327654,0.5026758308344169,0.4973816663570663,0.517903435487479,0.014692486370295417
0.012608146667480469,0.00045592020297480484,0.0014421939849853516,4.2422430872513444e-05,4,{'SVM__max_iter': 4},0.5050703130520812,0.509790907052757,0.4021263289555972,0.5060120122246216,0.5405383081407011,0.49271047866409123,0.04714232659564135,12,0.5073859546650619,0.5123585790232554,0.4256190899521447,0.501842674415519,0.5317660925793241,0.49579447812706096,0.03650713518471833
0.0177886962890625,0.004534795853758293,0.0015957355499267578,0.00012970785858680152,8,{'SVM__max_iter': 8},0.40838103314253404,0.38167427755554767,0.5092333651928682,0.4988908161940835,0.48750988235571757,0.457126418863304,0.051867760111270596,16,0.39946104286877404,0.3770306460030607,0.4968824359348601,0.4935260373820202,0.4713404143336075,0.4476481153044645,0.04979748591211085
0.02162470817565918,0.0012721810882560455,0.0016637802124023437,3.407788069084241e-05,16,{'SVM__max_iter': 16},0.55437778248887,0.5149857812075943,0.4650459603289791,0.4592079955632647,0.36305414940941855,0.47135384588813317,0.06436782797745072,14,0.5443828395105431,0.5151626728232891,0.47513965183239126,0.4534538120637954,0.37706934603578984,0.47304166445316176,0.057380334644128214
0.03360528945922851,0.0015297250212323048,0.0024912357330322266,0.00041225006082416853,32,{'SVM__max_iter': 32},0.38050314465408797,0.5245908409737218,0.48648919725772,0.5319775331280163,0.512732014112594,0.48723346251926675,0.055586781440925465,13,0.4034700343374987,0.5102510858123469,0.5157547833240453,0.5476800988951694,0.5458584330688463,0.5046028870875814,0.05280489957418967
0.06786980628967285,0.014824740962530182,0.0032048702239990236,0.0006515775437262204,64,{'SVM__max_iter': 64},0.5307045438484912,0.541396745607514,0.5348714408769631,0.5653533458411507,0.5691853398940375,0.5482981484064496,0.015903847319386023,7,0.5487340259832205,0.5424124715831189,0.5288370529593363,0.5773304053994286,0.5886827835717255,0.557199347899366,0.02232128741093411
0.10272731781005859,0.013064205637981335,0.003141641616821289,0.0001148434355128432,128,{'SVM__max_iter': 128},0.5803300120132853,0.3387199546886615,0.5901152843168489,0.3467261377983881,0.46826731329722576,0.46485887817466537,0.10853807149614057,15,0.5539532372827357,0.3450212960751533,0.6225989393979602,0.3644238339127282,0.4736275862679016,0.47192497858729576,0.10685992448563555
0.18302230834960936,0.023920890420132516,0.004802608489990234,0.001012640388330047,256,{'SVM__max_iter': 256},0.556126775492898,0.579926133078457,0.46274204396615803,0.5782505575418598,0.5641763130258297,0.548246216691264,0.04365442910482011,8,0.5380610818082056,0.5737749781068388,0.49414192076002444,0.5793273270882539,0.5577094888057391,0.5486029593138123,0.030782079482527938
0.3553781032562256,0.04305952715452998,0.00859084129333496,0.0019486231336876328,512,{'SVM__max_iter': 512},0.5195039219843121,0.5308948989344755,0.5762681864844773,0.5819616033605909,0.60499191711801,0.562713950458048,0.03231761513942405,5,0.4975316235382963,0.5571278825995808,0.5756629868464118,0.5567530451397182,0.6057981494750063,0.5585747375198026,0.035365894923177724
0.5282608985900878,0.03408199564757416,0.011235523223876952,0.00047178639047469004,1024,{'SVM__max_iter': 1024},0.5852943254893648,0.38842672896975694,0.48407023257460435,0.5356531794635798,0.6155881624128287,0.5218214430281988,0.08028547179270326,10,0.5873202001250781,0.39952973931657965,0.5032237127263399,0.51152873975002,0.6192967208909411,0.5241798225617917,0.07638165135080051
1.0017765045166016,0.06749944034166869,0.018780279159545898,0.0003718502123749553,2048,{'SVM__max_iter': 2048},0.6079605681577274,0.5397742692956682,0.4511841127119543,0.6043576763779248,0.5732946298984034,0.5553266211936151,0.05759187725456759,6,0.587438935891536,0.5495653433466904,0.45313204893453285,0.6015245601464853,0.5689380268733027,0.5521197830385095,0.052490426841871836
1.7188122749328614,0.041388039239253625,0.026344108581542968,0.0006422980838804634,4096,{'SVM__max_iter': 4096},0.7161508020634584,0.64308471096322,0.6931218804205459,0.6663392214473669,0.6902545222839747,0.6817983008789998,0.02497280334513863,4,0.7002069394786835,0.6480126980335962,0.7084499862891313,0.6859182743765979,0.6721349812912985,0.6829445758938615,0.021421678108627284
2.3794629096984865,0.04514899749004591,0.026582813262939452,0.0002154890691752597,8192,{'SVM__max_iter': 8192},0.7557416437000919,0.7224415023540656,0.730329687186567,0.7202880337947065,0.7382444216314441,0.7334143050515064,0.012840937459280888,3,0.7327774139497563,0.7389583278047572,0.7325462852391442,0.7440938221479182,0.7267329874656123,0.7350217673214378,0.005961001464662987
