,fpr,tpr,exp,clf,roc_auc
0,0.0,0.0,wine-qual,KNN,0.8206064104305311
1,0.005025125628140704,0.1021021021021021,wine-qual,KNN,0.8206064104305311
2,0.022613065326633167,0.21771771771771772,wine-qual,KNN,0.8206064104305311
3,0.04522613065326633,0.3303303303303303,wine-qual,KNN,0.8206064104305311
4,0.05527638190954774,0.42342342342342343,wine-qual,KNN,0.8206064104305311
5,0.0829145728643216,0.503003003003003,wine-qual,KNN,0.8206064104305311
6,0.12814070351758794,0.5765765765765766,wine-qual,KNN,0.8206064104305311
7,0.1658291457286432,0.6381381381381381,wine-qual,KNN,0.8206064104305311
8,0.20854271356783918,0.6906906906906907,wine-qual,KNN,0.8206064104305311
9,0.2537688442211055,0.7522522522522522,wine-qual,KNN,0.8206064104305311
10,0.29396984924623115,0.7927927927927928,wine-qual,KNN,0.8206064104305311
11,0.36683417085427134,0.8408408408408409,wine-qual,KNN,0.8206064104305311
12,0.4271356783919598,0.8633633633633634,wine-qual,KNN,0.8206064104305311
13,0.5125628140703518,0.9054054054054054,wine-qual,KNN,0.8206064104305311
14,0.592964824120603,0.924924924924925,wine-qual,KNN,0.8206064104305311
15,0.6608040201005025,0.948948948948949,wine-qual,KNN,0.8206064104305311
16,0.7361809045226131,0.9684684684684685,wine-qual,KNN,0.8206064104305311
17,0.8165829145728644,0.9744744744744744,wine-qual,KNN,0.8206064104305311
18,0.8743718592964824,0.9864864864864865,wine-qual,KNN,0.8206064104305311
19,0.9396984924623115,0.9924924924924925,wine-qual,KNN,0.8206064104305311
20,0.9623115577889447,0.996996996996997,wine-qual,KNN,0.8206064104305311
21,0.9798994974874372,0.9984984984984985,wine-qual,KNN,0.8206064104305311
22,0.9949748743718593,0.9984984984984985,wine-qual,KNN,0.8206064104305311
23,1.0,1.0,wine-qual,KNN,0.8206064104305311
