,0,1,2,3,4
170,0.6608196997807386,0.6397618022671832,0.6397618022671832,0.6397618022671832,0.6397618022671832
360,0.6277728482697428,0.7250171843802168,0.7250171843802168,0.7250171843802168,0.7250171843802168
550,0.6751419235344607,0.7223170592921361,0.7223170592921361,0.7223170592921361,0.7223170592921361
740,0.7179307862815827,0.7371794871794872,0.7371794871794872,0.7371794871794872,0.7371794871794872
931,0.7244587109768378,0.7358795946150354,0.7473474669055441,0.7473474669055441,0.7473474669055441
1121,0.6917965617045019,0.7247397342531369,0.7380622609154465,0.7380622609154465,0.7380622609154465
1311,0.7150352749317546,0.7249808811389271,0.7400417322954282,0.7400417322954282,0.7400417322954282
1501,0.7199310394668775,0.7278930712351278,0.7465199365366132,0.7465199365366132,0.7465199365366132
1691,0.7418360935326063,0.7457048606435978,0.7544862783264845,0.7484235072087683,0.7484235072087683
1882,0.7435141108466509,0.7408753096614368,0.7474134162335454,0.7457812240674029,0.7457812240674029
2072,0.748971481837105,0.7489821882951655,0.7676504177435836,0.7339950821403249,0.7339950821403249
2262,0.7481375524424362,0.7542124237172257,0.7611816230098363,0.739712431735284,0.739712431735284
2452,0.7486403088592516,0.7571037986673986,0.7567521698725882,0.7498663800946143,0.7498663800946143
2643,0.7508707119132862,0.7528201083306117,0.7569302629389761,0.7489046776887005,0.7504973062831358
2833,0.7478571695125787,0.7459201189898655,0.751216020983159,0.7497273148913257,0.7537219086107724
3023,0.7520142124665506,0.7471593779823724,0.7556976178446452,0.7576393177267539,0.7559333844560598
3213,0.7497023575272269,0.7444000626566417,0.7531067251461989,0.7577929197994986,0.7579697430937224
