,0,1,2,3,4
57,0.881993006993007,0.8247863247863249,0.8247863247863249,0.8247863247863249,0.8247863247863249
121,0.8467016491754124,0.8327922077922078,0.8327922077922078,0.8327922077922078,0.8327922077922078
185,0.8379351740696279,0.8090033827738745,0.8090033827738745,0.8090033827738745,0.8090033827738745
249,0.7771377368151561,0.6894965013690296,0.6894965013690296,0.6894965013690296,0.6894965013690296
313,0.7772263948497854,0.7618910424305919,0.8474618780096309,0.8474618780096309,0.8474618780096309
377,0.7713152431791223,0.6701381112355357,0.8087130607327618,0.8087130607327618,0.8087130607327618
441,0.7678062678062676,0.7698243114909782,0.8283442109049797,0.8283442109049797,0.8283442109049797
505,0.8171541215754115,0.6527710405044871,0.8302225483973343,0.8302225483973343,0.8302225483973343
569,0.8100388110564178,0.7791713997223273,0.8044926650366749,0.7657017681114068,0.7657017681114068
633,0.7628608653027529,0.6716286989499755,0.7635316426304791,0.7679339477726574,0.7679339477726574
697,0.7272328969594596,0.6516469594594594,0.7568042652027027,0.8191750616561467,0.8191750616561467
761,0.7147085847028638,0.728273871437487,0.764228382220373,0.762984343566868,0.762984343566868
825,0.7559006211180127,0.6903544026306179,0.721264157837048,0.7033978808914871,0.7033978808914871
889,0.7279527559055119,0.6890894175553732,0.7477005493822557,0.7290190667959331,0.7012679763739085
953,0.7401415324548563,0.6425953039423027,0.7037497966487719,0.7157075456385064,0.7166861859349731
1017,0.7149831649831649,0.6481902356902356,0.6747264309764309,0.6540870523004547,0.6560935012302793
1081,0.7553317584649177,0.7000870322019147,0.7190020307513779,0.709340613882684,0.654962396484705
