param_MLP__max_iter,train acc,test acc
1,0.7377103709889736,0.7406778637934416
2,0.6569927859323321,0.6517459670726002
4,0.7254485791259135,0.714220501908944
8,0.7331436632743091,0.7310576908566857
16,0.761602428909114,0.7394215823864064
32,0.7677251860134844,0.7454124979250607
64,0.7677251860134844,0.7454124979250607
128,0.7677251860134844,0.7454124979250607
256,0.7677251860134844,0.7454124979250607
512,0.7677251860134844,0.7454124979250607
1024,0.7677251860134844,0.7454124979250607
2048,0.7677251860134844,0.7454124979250607
2100,0.7677251860134844,0.7454124979250607
2200,0.7677251860134844,0.7454124979250607
2300,0.7677251860134844,0.7454124979250607
2400,0.7677251860134844,0.7454124979250607
2500,0.7677251860134844,0.7454124979250607
2600,0.7677251860134844,0.7454124979250607
2700,0.7677251860134844,0.7454124979250607
2800,0.7677251860134844,0.7454124979250607
2900,0.7677251860134844,0.7454124979250607
3000,0.7677251860134844,0.7454124979250607
