,0,1,2,3,4
170,0.8313374936751557,0.7965274788348398,0.7965274788348398,0.7965274788348398,0.7965274788348398
360,0.7942324755989353,0.7938856338581389,0.7938856338581389,0.7938856338581389,0.7938856338581389
550,0.7786369317411798,0.7762319335381814,0.7762319335381814,0.7762319335381814,0.7762319335381814
740,0.7813003541661555,0.7852564102564101,0.7852564102564101,0.7852564102564101,0.7852564102564101
931,0.7839501510574018,0.7878031563555689,0.7828680203045687,0.7828680203045687,0.7828680203045687
1121,0.7770757052690309,0.7795439152626398,0.7751615881809787,0.7751615881809787,0.7751615881809787
1311,0.7675931506363668,0.7658116779522814,0.7862030195138998,0.7862030195138998,0.7862030195138998
1501,0.7612198749353376,0.7765077747010315,0.7773695506992939,0.7773695506992939,0.7773695506992939
1691,0.7722154900288737,0.7709505857008213,0.781390430874967,0.7810111632324074,0.7810111632324074
1882,0.7717491620925826,0.7806394812260163,0.7813972409773157,0.7790335256616779,0.7790335256616779
2072,0.7815546568919477,0.7881479032678168,0.7850343611628698,0.7662658963025539,0.7662658963025539
2262,0.7796522085739441,0.7837277710923919,0.779652208573944,0.7701267557382665,0.7701267557382665
2452,0.7803324686135419,0.7828749600829557,0.7843266846786722,0.7694601755822417,0.7694601755822417
2643,0.7822308218460571,0.781520633962078,0.7856526642059146,0.7768595830688743,0.7768447461809936
2833,0.7797501319444073,0.778890760692828,0.7816871824671205,0.7767138112475276,0.7789851818590031
3023,0.7819649506914426,0.782767033439997,0.7838858324444694,0.776466391586669,0.780914683311625
3213,0.7806596602277577,0.7852313074352549,0.7795530492898916,0.7743055555555556,0.7759293139085295
