param_SVM__max_iter,train acc,test acc
1,0.4956642462502417,0.4902930568759714
2,0.5198693541309855,0.5236128087886881
4,0.5031340382265378,0.5173917636229193
8,0.5104766757727167,0.5224017987837082
16,0.523915412815468,0.531225949567658
32,0.5254584872633252,0.5538578779784809
64,0.46645057490787784,0.46193429610515024
128,0.4883079260381132,0.4872900538729683
256,0.6482509778387993,0.6680134908778124
512,0.6601997197412559,0.6861861861861861
1024,0.7653144418180017,0.7332194003048274
2048,0.7680290355607768,0.7437751822173931
4096,0.7665229986741968,0.7457822143751791
8192,0.7665229986741968,0.7457822143751791
16384,0.7665229986741968,0.7457822143751791
32768,0.7665229986741968,0.7457822143751791
