param_SVM__max_iter,train acc,test acc
1,0.4620357480796732,0.41474514563106807
2,0.5004897159647405,0.5000000000000001
4,0.47333953086870634,0.4302563713592234
8,0.45636547751456696,0.46474893810679624
16,0.5004090847647347,0.4982744235436894
32,0.5010754779177229,0.4767900485436894
64,0.49880357528226843,0.4563675667475729
128,0.49515857074083464,0.4826494235436894
256,0.48499666803423497,0.44956007281553406
512,0.554239896792064,0.5710520327669905
1024,0.5716669077697648,0.6064358313106796
2048,0.6348426387271654,0.6741315230582524
4096,0.5669393107929604,0.5747117718446603
8192,0.563797065498621,0.5698574029126214
16384,0.5650077192516477,0.5698574029126214
32768,0.5628176335691402,0.5698574029126214
