param_SVM__max_iter,train acc,test acc
1,0.44406684800781643,0.41971328883495157
2,0.4966265328821148,0.4970987560679612
4,0.4704285073979126,0.4487257281553399
8,0.5037137782120268,0.5010050060679613
16,0.5195352797072613,0.514790655339806
32,0.4761687373865531,0.45541944781553406
64,0.49419218209370763,0.4728837985436894
128,0.5468917858150746,0.5160800970873788
256,0.502748575317841,0.501118780339806
512,0.523630870366374,0.5432531856796118
1024,0.4982059557998733,0.4876175667475729
2048,0.5544011591920753,0.5482213288834953
4096,0.6824257185069948,0.7024233919902912
8192,0.6844118546836055,0.6946108919902912
16384,0.6863979908602164,0.7053246359223301
32768,0.6863979908602164,0.7053246359223301
