mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.005539941787719727,0.0003319598857646859,0.0012501239776611327,7.56298307323609e-05,1,{'SVM__max_iter': 1},0.48122245077872466,0.4874497991967871,0.46509567682494685,0.5553562888570062,0.48230511716881874,0.49424252410453023,0.03141055348458436,13,0.4830548128342246,0.4715681910908347,0.43733726493824404,0.5604488457143703,0.5147451992589497,0.4934308627673246,0.04166015247410295
0.005916309356689453,0.0004061688837171901,0.0012564659118652344,0.00010530266071418005,2,{'SVM__max_iter': 2},0.5,0.4999999999999999,0.4999999999999999,0.5073529411764706,0.5037063605930177,0.5022056905900095,0.0029423925162813816,10,0.5006127450980392,0.5006119951040391,0.500611995104039,0.5070961849223635,0.5116279069767442,0.504112165441045,0.004519713942485264
0.006373023986816407,0.0001880869407199361,0.0012248039245605468,6.62509249065104e-05,4,{'SVM__max_iter': 4},0.4819277108433735,0.46825537443893217,0.49193834160170086,0.5144667623146819,0.4915710186513629,0.4896077981749247,0.015106273639602468,14,0.5006461675579322,0.4694113719817513,0.5105522792181297,0.5476468695803303,0.49937321347350677,0.5055259803623301,0.025160950063857258
0.007523441314697265,9.578347057009526e-05,0.001259756088256836,8.21451345839235e-05,8,{'SVM__max_iter': 8},0.48236849838377904,0.5002067091896999,0.497755728797543,0.47082735533237674,0.4823648971783836,0.48671571231167676,0.010896703544392879,15,0.5103943850267378,0.49283409369088665,0.4900949519676568,0.47422779530150466,0.4784914228239044,0.4892085297621381,0.012665304635309765
0.009934806823730468,4.309579211681733e-05,0.001329803466796875,1.4197100701671716e-05,16,{'SVM__max_iter': 16},0.5149280047017338,0.5173635719347979,0.49418261280415776,0.4842778574844572,0.4856527977044476,0.4993118464143699,0.01420382855333426,11,0.49914215686274516,0.4960721041504394,0.49953636734542467,0.4949968013548943,0.4795896859411227,0.49386742313092524,0.007347783846580638
0.016474485397338867,0.002326389269775948,0.001847076416015625,0.00044469536308492383,32,{'SVM__max_iter': 32},0.4532471348809872,0.5053153791637136,0.4885719347980155,0.5411286465805835,0.5519488283118125,0.5079504824072286,0.03582147446174274,9,0.48179590017825313,0.499013389711064,0.47582248432921603,0.5279077163153088,0.5679259097649273,0.5104930800597538,0.03393865382073997
0.02467503547668457,0.003789929125638361,0.0018969535827636718,0.0005091210591503794,64,{'SVM__max_iter': 64},0.5005877167205406,0.5340184266477674,0.49438932199385777,0.4697513151602104,0.4855332376853181,0.4968854033399465,0.021272232716430816,12,0.5012811942959001,0.48853158265642954,0.4832795519454024,0.4989017368827816,0.47809390334545,0.49001759382519267,0.008894723443206421
0.040648031234741214,0.006959843503534007,0.0018545627593994141,0.0003368853544058256,128,{'SVM__max_iter': 128},0.5802527181898325,0.5137904559414126,0.48499881880463025,0.5639646102343376,0.5210425633668101,0.5328293977271369,0.034686349829327695,7,0.5994206773618538,0.5037072067059826,0.4995419309372797,0.5737814641289517,0.5002958284490824,0.53534942151663,0.042648114264520705
0.07144813537597657,0.009335596953224841,0.002132081985473633,0.0003571722497990762,256,{'SVM__max_iter': 256},0.4944166911548634,0.4994979919678715,0.46202456886369003,0.4806312769010042,0.48672883787661403,0.484668043819845,0.01303137798312587,16,0.5098484848484848,0.4845925596231593,0.5013779162493971,0.48924108909243536,0.4874827587482019,0.49450856171233576,0.009570125872772934
0.11991009712219239,0.015564032975946458,0.0024562835693359374,6.391247498826605e-05,512,{'SVM__max_iter': 512},0.48225095503967086,0.5211433971178832,0.5055220883534136,0.6083213773314203,0.5074725011956002,0.5248663309905267,0.04349486901922184,8,0.501882798573975,0.4976169281554838,0.4995716034271725,0.5987438384480839,0.4816493915178588,0.5158929120245148,0.04203230825339285
0.1757580280303955,0.014761317615252565,0.003830575942993164,0.00010295957757134584,1024,{'SVM__max_iter': 1024},0.6283573317660885,0.6415662650602408,0.49072761634774387,0.5857843137254902,0.5003586800573888,0.5694366469558079,0.06311397670347718,2,0.6200200534759358,0.5622788472237676,0.517996365119988,0.5909709459484445,0.490722080265654,0.556397658406758,0.04704391700941743
0.20978841781616211,0.002932052533919561,0.004544305801391602,6.861592266289106e-05,2048,{'SVM__max_iter': 2048},0.5783132530120481,0.5732045830380345,0.5524746042995511,0.5937948350071737,0.5815997130559543,0.5758626111432437,0.013520143010646855,1,0.5649844028520499,0.5852824450131672,0.6067857275323615,0.5814156870430838,0.5895417247538153,0.5856019974388954,0.013468365803015137
0.2757087230682373,0.008810427964796369,0.004526090621948242,8.27911253705589e-05,4096,{'SVM__max_iter': 4096},0.5843373493975903,0.5575832742735648,0.5513524686983227,0.5718555714968915,0.5462697274031565,0.5622995469629368,0.01397983465922009,4,0.5607620320855615,0.5650328251919439,0.594082192797003,0.56904451108802,0.5660233630517663,0.5709889848428589,0.011847371286964527
0.3401211738586426,0.01883415729978043,0.0044272422790527345,0.00012551830445495306,8192,{'SVM__max_iter': 8192},0.5843373493975903,0.555132293881408,0.5453283723127805,0.5718555714968915,0.5462697274031565,0.5606033495883207,0.015233119090171929,6,0.5568293226381461,0.5671599718111345,0.5834761321909424,0.5675339370698932,0.5660233630517663,0.5682045453523765,0.008589708515966021
