mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0035079002380371095,0.00025232122871669886,0.1278313159942627,0.008409268363202008,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.5805759623861299,0.6237302149775573,0.5784904323175053,0.5763390722142516,0.5616331898613104,0.5841724336781723,0.020875806589477047,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0038956165313720702,0.0003602705147733218,0.13219852447509767,0.015575018112491214,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.5937995885982956,0.6055693361682022,0.5727911646586346,0.5790889526542324,0.6059899569583931,0.5914479172962498,0.013539742702026687,18,0.6610851158645276,0.6556507547939616,0.6838266384778012,0.6657212482481408,0.6593923683655848,0.6651352251500031,0.009889907203481787
0.003763103485107422,0.0001510523933903187,0.16619577407836914,0.01342013779398852,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.6249191889509256,0.6366052445074415,0.5859614930309474,0.6010282161645145,0.6425753228120518,0.6182175678094018,0.02149845058309705,1,0.6672682709447415,0.6776176699677311,0.695217165535403,0.6834062427198467,0.6754503063673376,0.679791931107012,0.009288921211286839
0.0059397220611572266,0.0032341239656227634,0.15116238594055176,0.013652085653779272,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.5877754922127534,0.59954523978266,0.5656449326718639,0.5742467718794836,0.6340865614538499,0.5922400659588946,0.02387598405289414,15,0.6258801247771836,0.6225789102778087,0.6446941879010422,0.6324109648814652,0.6284524104471817,0.6308033196569363,0.007654361832511897
0.0038419246673583986,0.0003383054758533726,0.1844311237335205,0.02129135901108846,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.6118718777549221,0.608020316560359,0.6113867233640444,0.5900884744141559,0.6401841224294597,0.6123060557524376,0.01604168420745493,3,0.6522170231729055,0.6374095916323578,0.6549794147101369,0.6475167050627341,0.6492750354069674,0.6482795539970203,0.0060020130061418705
0.005284881591796875,0.002598003147892389,0.19553189277648925,0.01281743121226715,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.5830443726124007,0.5888258918025041,0.5790219702338766,0.6023433763749402,0.630439980870397,0.5966981561289952,0.01859570711863105,10,0.6204322638146167,0.606845072512147,0.6323114869626497,0.6179560472881775,0.619753205116353,0.6194596151387889,0.00809432210699846
0.0027516841888427734,0.0009614533093208763,0.31228089332580566,0.10373523300156151,manhattan,19,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",0.6011166617690272,0.6093491613512875,0.591070163004961,0.5974414155906265,0.6401841224294595,0.6078123072199915,0.017205489619114184,5,0.6255570409982174,0.6171302993212417,0.6350209561959868,0.6246103384647242,0.6309003908633384,0.6266438051687017,0.0060682455094997045
0.002259492874145508,0.00060687552375423,0.41320080757141114,0.04874754417603857,manhattan,22,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 22, 'KNN__weights': 'uniform'}",0.5950925653834851,0.5816796598157334,0.5658516418615639,0.5986967957914874,0.6267934002869441,0.5935971677058991,0.020196892204610864,13,0.6146947415329769,0.598074997218204,0.6192871184303252,0.5974200061384403,0.6064446227632596,0.6071842972166411,0.008737881896404037
0.0019949913024902345,0.0002797047106352702,0.3472572326660156,0.018069676484292103,manhattan,25,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 25, 'KNN__weights': 'uniform'}",0.6011166617690272,0.6033250649657453,0.571875738247106,0.5974414155906265,0.6365375418460067,0.6020378040017053,0.02059550731582435,9,0.624075311942959,0.6086513853343718,0.6307963354474982,0.6110151723015823,0.6182426310982262,0.6185561672249275,0.00818965555040687
0.002597332000732422,0.0011421032263573183,0.2887174129486084,0.04297847155488629,manhattan,28,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'uniform'}",0.5915074933881868,0.5841306402078903,0.5562544294826365,0.5925992348158776,0.6267934002869441,0.5902307996766987,0.022506719329215212,22,0.6065396613190731,0.583214643373762,0.618995957123252,0.5989694076405092,0.5937868629981473,0.6003013064909487,0.012038048166329874
0.003919219970703125,0.002122985953039964,0.2387117862701416,0.01602348740068125,manhattan,31,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",0.5794593006171025,0.5816796598157334,0.5658516418615639,0.5876972740315639,0.6328909612625538,0.5894797750719858,0.02281593777711361,23,0.6098262032085562,0.5865361077111382,0.624123734282853,0.6041131247989291,0.6028114796229666,0.6054821299248887,0.012118900045191675
