mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0461155891418457,0.0012062585829276874,0.0011449813842773437,0.0002295080499512397,1,{'Boost__n_estimators': 1},0.6451366441375256,0.7035790219702338,0.6355716985589416,0.6642754662840745,0.6315160210425634,0.6560195088416312,0.026334533402283197,19,0.7028409090909091,0.6732984681577092,0.6966321723971662,0.6819640790305701,0.6603445661860686,0.6830160389724846,0.015414006910702365
0.324892520904541,0.0041291600982201115,0.0022697925567626955,0.00015083998682376997,5,{'Boost__n_estimators': 5},0.6451366441375256,0.7281774155445311,0.6355716985589416,0.6971544715447154,0.6315160210425634,0.6675000768056246,0.03840527411289076,12,0.7028409090909091,0.7497514928971477,0.6966321723971662,0.7339115546894355,0.6603445661860686,0.7086961390521455,0.031109666899774346
0.6684318065643311,0.01984575153396321,0.003275442123413086,0.00023118791539363242,10,{'Boost__n_estimators': 10},0.6451366441375256,0.7500295298842429,0.6355716985589416,0.6836441893830704,0.6315160210425634,0.6691790280728958,0.044441556352096345,11,0.7028409090909091,0.7612903824042134,0.6966321723971662,0.7586927340835049,0.6603445661860686,0.7159601528323725,0.038780619065416196
1.3538039684295655,0.03689858312478171,0.004965591430664063,0.00032923910040697846,20,{'Boost__n_estimators': 20},0.6451366441375256,0.7330793763288448,0.6355716985589416,0.6824485891917743,0.6315160210425634,0.6655481802869055,0.03826491111775202,13,0.7028409090909091,0.7765012425355142,0.6966321723971662,0.8280090375591194,0.6603445661860686,0.7328655855537554,0.060712415032725876
2.048811101913452,0.07026760960636089,0.006838703155517578,0.00029898368943332977,30,{'Boost__n_estimators': 30},0.6451366441375256,0.7330793763288448,0.6355716985589416,0.6727044476327116,0.6315160210425634,0.6636047880373297,0.03759887087716374,14,0.7028409090909091,0.7765012425355142,0.6966321723971662,0.8479719110887596,0.6603445661860686,0.7368581602596834,0.06715277082934265
2.733371067047119,0.11000738203292448,0.008459091186523438,0.00028971230345844936,40,{'Boost__n_estimators': 40},0.6451366441375256,0.7330793763288448,0.6355716985589416,0.6727044476327116,0.6315160210425634,0.6636047880373297,0.03759887087716374,14,0.7028409090909091,0.7765012425355142,0.6966321723971662,0.8485839061927988,0.6603445661860686,0.7369805592804913,0.06735543767758415
3.4147888660430907,0.1470532717901434,0.01055450439453125,0.00035061442280754035,50,{'Boost__n_estimators': 50},0.6451366441375256,0.7330793763288448,0.6355716985589416,0.6727044476327116,0.6315160210425634,0.6636047880373297,0.03759887087716374,14,0.7028409090909091,0.7765012425355142,0.6966321723971662,0.8485839061927988,0.6603445661860686,0.7369805592804913,0.06735543767758415
4.091921138763428,0.1948823309357157,0.012199115753173829,0.000571263819438921,60,{'Boost__n_estimators': 60},0.6451366441375256,0.7330793763288448,0.6355716985589416,0.6727044476327116,0.6315160210425634,0.6636047880373297,0.03759887087716374,14,0.7028409090909091,0.7765012425355142,0.6966321723971662,0.8485839061927988,0.6603445661860686,0.7369805592804913,0.06735543767758415
4.749400329589844,0.21375593713012692,0.013391542434692382,0.0007976345840445847,70,{'Boost__n_estimators': 70},0.6451366441375256,0.7330793763288448,0.6355716985589416,0.6727044476327116,0.6315160210425634,0.6636047880373297,0.03759887087716374,14,0.7028409090909091,0.7765012425355142,0.6966321723971662,0.8485839061927988,0.6603445661860686,0.7369805592804913,0.06735543767758415
5.308534860610962,0.3474998535295108,0.013667726516723632,0.002444779105816745,80,{'Boost__n_estimators': 80},0.6729356450191007,0.7330793763288448,0.6630344909047956,0.6727044476327116,0.6315160210425634,0.6746842396810909,0.032904277282160874,10,0.7122883244206774,0.7765012425355142,0.7797633618931047,0.8485839061927988,0.6603445661860686,0.7554962802456326,0.06421243171225999
5.42410979270935,0.33370478363086054,0.009480905532836915,0.00018357062612262947,90,{'Boost__n_estimators': 90},0.6729356450191007,0.7330793763288448,0.6654854712969523,0.6727044476327116,0.6315160210425634,0.6751747775977918,0.0327448293298259,8,0.7122883244206774,0.7765012425355142,0.7815993472052224,0.8485839061927988,0.6603445661860686,0.7558634773080561,0.06435524316884639
5.556404876708984,0.5242430020701573,0.010863256454467774,0.0002307408258515347,100,{'Boost__n_estimators': 100},0.6729356450191007,0.7330793763288448,0.6654854712969523,0.6727044476327116,0.6315160210425634,0.6751747775977918,0.0327448293298259,8,0.7122883244206774,0.7765012425355142,0.7815993472052224,0.8485839061927988,0.6603445661860686,0.7558634773080561,0.06435524316884639
5.9776874542236325,0.40134738813365145,0.011449193954467774,0.00027265174272067023,110,{'Boost__n_estimators': 110},0.6729356450191007,0.7330793763288448,0.6654854712969523,0.6739000478240077,0.6315160210425634,0.6754132306345496,0.032730321830393226,7,0.7122883244206774,0.7765012425355142,0.7815993472052224,0.8609939096318044,0.6603445661860686,0.7583454779958573,0.06801840169769226
5.15581955909729,0.23504006261561902,0.012891674041748047,0.000699514708858919,120,{'Boost__n_estimators': 120},0.6729356450191007,0.7330793763288448,0.6654854712969523,0.6837039693926351,0.6315160210425634,0.6773685455359634,0.032874047011233996,5,0.7122883244206774,0.7765012425355142,0.7815993472052224,0.8629075499118062,0.6603445661860686,0.7587282060518576,0.06859782621884636
