mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.29524846076965333,0.14514205479602504,0.04548497200012207,0.01899991704032821,1,{'MLP__max_iter': 1},0.5410520129297678,0.5643456177651783,0.5380049610205527,0.5297106647537063,0.5273792443806791,0.5401152788338299,0.013134417184753217,22,0.5475601604278074,0.5391788138422164,0.540693965357368,0.537821667215182,0.5408428152514357,0.5412194844188019,0.0033565375120236593
0.6573289394378662,0.021434765977027967,0.03501453399658203,0.017499757384333604,2,{'MLP__max_iter': 2},0.6498383779018513,0.6635364989369241,0.6175879990550437,0.6101745576279292,0.5808823529411764,0.6244619666542484,0.029391395472642776,17,0.6312722816399287,0.6284095545417454,0.6363358184043618,0.6384255270368713,0.6441812392993304,0.6357248841844475,0.00552297694123861
1.3288583755493164,0.04273221919316283,0.05430030822753906,0.01497613246640351,4,{'MLP__max_iter': 4},0.6128709961798413,0.6415072052917553,0.5701334750767777,0.6083213773314203,0.5900286944045912,0.6045856643529027,0.02385831820658067,19,0.6014037433155079,0.6098698119505953,0.6289844590334186,0.6116419588280756,0.6137257004662996,0.6131251347187794,0.008967349668776268
2.699422597885132,0.0395035807737734,0.05378060340881348,0.009355539179964395,8,{'MLP__max_iter': 8},0.597531589773729,0.6104712969525159,0.5729978738483346,0.609636537541846,0.5986967957914874,0.5978577986108865,0.013541186247301296,21,0.5931595365418894,0.6001131263677163,0.6083008790475131,0.6055848713331139,0.5991783364826736,0.6012673499545812,0.00528288500848766
5.1796950340271,0.1623739025316892,0.06400480270385742,0.015286507055888679,16,{'MLP__max_iter': 16},0.6143109021451659,0.6006673753838884,0.571669029057406,0.6132831181252989,0.6120875179340028,0.6023975521655647,0.01613825570928888,20,0.6167557932263814,0.6213252475798375,0.6367679240384257,0.6261209124828512,0.6205741290625566,0.6243088012780105,0.006905226814993772
10.25775728225708,0.22757341125374586,0.07356734275817871,0.015841306205350614,32,{'MLP__max_iter': 32},0.6214810461357625,0.6343609733049846,0.5810595322466335,0.6303204208512674,0.6193806791009085,0.6173129295444465,0.01895519056584926,18,0.653665329768271,0.6458588331293349,0.6706835799859056,0.6583773069996709,0.6549919201854844,0.6567153940137332,0.008099510383977219
20.096759176254274,1.0319781998846456,0.03809475898742676,0.006673887837496645,64,{'MLP__max_iter': 64},0.6371143109021451,0.6475313016772974,0.5917788802267895,0.6412601626016259,0.6376135820181732,0.6310521859885309,0.019994828499887908,16,0.6879010695187165,0.6767441860465115,0.7079503727606542,0.6978999877970764,0.6918188642406269,0.692462896072717,0.010370407744885991
40.48364987373352,1.0388115667274584,0.03292250633239746,0.001313174437037965,128,{'MLP__max_iter': 128},0.6646488392594768,0.6801027639971651,0.6232282069454287,0.642455762792922,0.6533955045432808,0.6527812530163234,0.01933442831959907,1,0.7251671122994652,0.7225195652980231,0.7433811802232855,0.7399094764945807,0.7398706490106386,0.7341695966651987,0.00856819053896748
80.20785584449769,2.3113469795008608,0.03496880531311035,0.008149409591793288,256,{'MLP__max_iter': 256},0.6501616220981487,0.6774450744153083,0.6341542641152846,0.6778455284552846,0.6215925394548063,0.6522418722069965,0.022617955413519533,2,0.7725267379679145,0.7707132524757982,0.7791921664626682,0.7677506314088459,0.7861641034364172,0.7752693783503288,0.0066165733744534185
142.45641503334045,16.364636325451112,0.03851375579833984,0.006482622372801964,512,{'MLP__max_iter': 512},0.65718483690861,0.645995747696669,0.6350696905268132,0.6887852702056433,0.608142037302726,0.6470406023341789,0.026436585896300626,3,0.8171122994652407,0.8208022699454768,0.8410815622565928,0.8091869524862532,0.8058403931560087,0.8188046954619145,0.01235870071196462
144.43089013099672,23.81796045909884,0.03990302085876465,0.003872471437418058,1024,{'MLP__max_iter': 1024},0.65718483690861,0.645995747696669,0.6326187101346562,0.6887852702056433,0.608142037302726,0.6465500644174782,0.02667581521712492,4,0.8171122994652407,0.8208022699454768,0.8550387596899224,0.8091869524862532,0.8058403931560087,0.8215961349485804,0.017557763870678672
142.89803891181947,20.544401882252114,0.04016261100769043,0.005103988638426556,2048,{'MLP__max_iter': 2048},0.65718483690861,0.645995747696669,0.6326187101346562,0.6887852702056433,0.608142037302726,0.6465500644174782,0.02667581521712492,4,0.8171122994652407,0.8208022699454768,0.8550387596899224,0.8091869524862532,0.8058403931560087,0.8215961349485804,0.017557763870678672
143.99336485862733,20.210311356621432,0.038306474685668945,0.004666508254155625,2100,{'MLP__max_iter': 2100},0.65718483690861,0.645995747696669,0.6326187101346562,0.6887852702056433,0.608142037302726,0.6465500644174782,0.02667581521712492,4,0.8171122994652407,0.8208022699454768,0.8550387596899224,0.8091869524862532,0.8058403931560087,0.8215961349485804,0.017557763870678672
118.56422100067138,21.49293960205501,0.02951784133911133,0.007483862770239547,2200,{'MLP__max_iter': 2200},0.65718483690861,0.645995747696669,0.6326187101346562,0.6887852702056433,0.608142037302726,0.6465500644174782,0.02667581521712492,4,0.8171122994652407,0.8208022699454768,0.8550387596899224,0.8091869524862532,0.8058403931560087,0.8215961349485804,0.017557763870678672
