param_Boost__n_estimators,train acc,test acc
1,0.7173550463087469,0.7101121221724236
5,0.7271074844182743,0.7268889492507583
10,0.7545112693267656,0.7434809181040335
20,0.7651521370908764,0.7497472346718577
30,0.7668457208641783,0.7507432055170747
40,0.7668457208641783,0.7507432055170747
50,0.7668457208641783,0.7507432055170747
60,0.7668457208641783,0.7507432055170747
70,0.7668457208641783,0.7507432055170747
80,0.7668457208641783,0.7507432055170747
90,0.7668457208641783,0.7507432055170747
100,0.7668457208641783,0.7507432055170747
110,0.7668457208641783,0.7507432055170747
120,0.7668457208641783,0.7507432055170747
140,0.7668457208641783,0.7507432055170747
160,0.7668457208641783,0.7507432055170747
200,0.7668457208641783,0.7507432055170747
240,0.7668457208641783,0.7507432055170747
300,0.7668457208641783,0.7507432055170747
