param_SVM__max_iter,train acc,test acc
1,0.5548965071456544,0.557389047338796
2,0.5272825281792147,0.5407216261487617
4,0.5060467947175473,0.5085487497547798
8,0.49261041675513223,0.4893687657506752
16,0.490227273799582,0.4861205426532059
32,0.5397986289025085,0.537831801650897
64,0.47047799685770497,0.47651923280063974
128,0.49751801157836634,0.5152941886610228
256,0.5044843758109337,0.501527909819367
512,0.5606519554416906,0.5745242730167353
1024,0.5745165064851119,0.5564345752787961
2048,0.5964781289662038,0.602166236588347
4096,0.6161601721185014,0.6401602607632758
8192,0.741640834736986,0.7319593462809543
16384,0.7363725365303588,0.7344568186276728
32768,0.7406877662811929,0.739512125190517
