mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.005360841751098633,0.00037848848432871706,0.1961534023284912,0.0785415087951031,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.7062221751112996,0.6663392214473669,0.7009038668035446,0.6916026526012721,0.6663923206721182,0.6862967301578965,0.016930221502166175,48,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.005855464935302734,0.00010353842260171095,0.27046809196472166,0.013717558061069708,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.7444350222599111,0.7132582864290181,0.7281496690148324,0.718108015622972,0.6976943136630206,0.7203347253925142,0.015555823916639433,8,0.8334712438198403,0.8304678723385436,0.8266885377137347,0.831730046263125,0.8377163884687171,0.8320148177207921,0.003618631771482796
0.006029987335205078,0.0001786765906259947,0.3530090808868408,0.057543395125033085,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.7141721433114268,0.7022903465609402,0.7127685935785337,0.7133762847062433,0.6847705523499356,0.705477627465892,0.011225186518129383,31,0.7790334761112487,0.7775035604030112,0.7798261152243717,0.7776694176861363,0.7854409371157641,0.7798947013081065,0.002904361773297446
0.017099905014038085,0.014662094983785874,0.4646599769592285,0.06640914515142933,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.7356547240477705,0.7181198154506944,0.7119101561117208,0.7210402728120169,0.7037446753277401,0.7180980548767032,0.010596542891915087,14,0.7836221341168419,0.7691581747737708,0.7745496421905546,0.7763093879645111,0.7809362533060884,0.7769151184703533,0.005045515776159155
0.011261510848999023,0.00553492553442223,0.4096100330352783,0.03840590971978211,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.7216981132075472,0.713243536644365,0.7070869765301426,0.7036384768782377,0.7027003905742976,0.7096763240992583,0.0070595134725584905,28,0.7529647067152819,0.751332939698715,0.7586212615768384,0.756781904306982,0.760698347619174,0.7560798319833982,0.00347906448351574
0.006307554244995117,0.00031044715267157925,0.5569744110107422,0.05373934591021885,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.7409723694438555,0.734040733005298,0.7234710373228551,0.7231671917590002,0.7106416746315505,0.7264620114224112,0.010374904915955578,3,0.7579958582604694,0.7561433537669506,0.7549425470371255,0.7593709364965635,0.7585919601234863,0.7574089311369191,0.0016296160694950024
0.004660701751708985,0.0010146480802557124,0.839551305770874,0.12907329037449133,manhattan,19,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",0.7257790968836125,0.7198366903843204,0.7080250628340825,0.7309226285296234,0.7067565813539122,0.7182657777595366,0.009554124934767564,13,0.7431575748994065,0.7382926872418155,0.7430782227175827,0.7504240417871896,0.7503626745924333,0.7450630402476855,0.004695411384319461
0.003983640670776367,0.00012426925260609157,1.0428041458129882,0.13050448960654396,manhattan,22,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 22, 'KNN__weights': 'uniform'}",0.7336760652957389,0.734344578569153,0.7140370750587041,0.7375954311067058,0.7171817291467543,0.7273684582342507,0.009741392149635703,1,0.7473693759071116,0.7479571911295103,0.7502040044582439,0.7533088527983441,0.7592808207060655,0.7516240489998551,0.004359571838334865
0.022720813751220703,0.01601422397586776,0.9427165985107422,0.11857263351738745,manhattan,25,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 25, 'KNN__weights': 'uniform'}",0.7235707723835771,0.7223736533446612,0.7089365995256468,0.7312264740934782,0.7001634276139568,0.7172556695527413,0.011158045387237761,17,0.734744297733253,0.7345277269148779,0.7396991570027156,0.7417906173429222,0.7471279047138851,0.7395779407415307,0.004707044753017713
0.005895185470581055,0.003119626537604691,0.9138526439666748,0.0904156833980354,manhattan,28,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'uniform'}",0.7402657056038443,0.7271171840891122,0.7155828524903536,0.7356927088864503,0.7140105254463285,0.7265370217859013,0.010484647741913556,2,0.7453147309049287,0.7426812709533035,0.7461001424161205,0.7438892648320641,0.7518808215906376,0.7459732461394109,0.0031789706323381594
0.0039632320404052734,7.809873578107665e-05,0.8375648498535156,0.1011090250591535,manhattan,31,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",0.7332697335877323,0.7192289992566108,0.7001368780015811,0.7362738504017842,0.7092669947018773,0.7196384947713076,0.013788324221367816,9,0.7309786777113053,0.7337415633928651,0.739133030809649,0.7341020265548568,0.7411415625082928,0.7358193721953937,0.0037417891895660054
