param_MLP__max_iter,train acc,test acc
1,0.5802209294880155,0.57763197815534
2,0.6305442843150973,0.6353534587378641
4,0.6002115383247209,0.6192923240291263
8,0.6022522191366296,0.6154429611650486
16,0.6271044150325016,0.6396579186893204
32,0.6597647940465717,0.6842953580097088
64,0.6963156284609164,0.6881447208737864
128,0.7288266026043879,0.6686703580097088
256,0.7575965262181833,0.6686134708737864
512,0.7575965262181833,0.6686134708737864
1024,0.7575965262181833,0.6686134708737864
2048,0.7575965262181833,0.6686134708737864
2100,0.7575965262181833,0.6686134708737864
2200,0.7575965262181833,0.6686134708737864
2300,0.7575965262181833,0.6686134708737864
2400,0.7575965262181833,0.6686134708737864
2500,0.7575965262181833,0.6686134708737864
2600,0.7575965262181833,0.6686134708737864
2700,0.7575965262181833,0.6686134708737864
2800,0.7575965262181833,0.6686134708737864
2900,0.7575965262181833,0.6686134708737864
3000,0.7575965262181833,0.6686134708737864
