param_MLP__max_iter,train acc,test acc
1,0.6817216096476948,0.6942444957520333
2,0.7008336989907854,0.7048153681319509
4,0.7184114424832622,0.7221882686706808
8,0.7357353489315724,0.7199812878204838
16,0.7489145871373503,0.72450088279234
32,0.7622926958154632,0.7310124194546304
64,0.7684494236766738,0.7342606425520998
128,0.7683055197761703,0.7407721792143902
256,0.7683055197761703,0.7407721792143902
512,0.7683055197761703,0.7407721792143902
1024,0.7683055197761703,0.7407721792143902
2048,0.7683055197761703,0.7407721792143902
2100,0.7683055197761703,0.7407721792143902
2200,0.7683055197761703,0.7407721792143902
2300,0.7683055197761703,0.7407721792143902
2400,0.7683055197761703,0.7407721792143902
2500,0.7683055197761703,0.7407721792143902
2600,0.7683055197761703,0.7407721792143902
2700,0.7683055197761703,0.7407721792143902
2800,0.7683055197761703,0.7407721792143902
2900,0.7683055197761703,0.7407721792143902
3000,0.7683055197761703,0.7407721792143902
