,0,1,2,3,4
170,0.9346432787991228,0.972951642990386,0.972951642990386,0.972951642990386,0.972951642990386
360,0.9654835847382433,0.9741906975221761,0.9741906975221761,0.9741906975221761,0.9741906975221761
550,0.9140929693264469,0.9388443154660292,0.9388443154660292,0.9388443154660292,0.9388443154660292
740,0.8645171316631087,0.9055288461538462,0.9055288461538462,0.9055288461538462,0.9055288461538462
931,0.932444612286002,0.896160439671255,0.9165223449786006,0.9165223449786006,0.9165223449786006
1121,0.824857900059281,0.7654954998987565,0.8512729191399551,0.8512729191399551,0.8512729191399551
1311,0.8289305086376736,0.8415362954484449,0.873547093173427,0.873547093173427,0.873547093173427
1501,0.8312140553205732,0.8351109150108024,0.8338853567113305,0.8338853567113305,0.8338853567113305
1691,0.7831792409077989,0.8265330700297713,0.8040621320260496,0.7970165346495725,0.7970165346495725
1882,0.7948268324670908,0.7949798416476416,0.8052132413659104,0.8298528736978786,0.8298528736978786
2072,0.7983543709393682,0.8111428342449561,0.8093546512792772,0.788859388435487,0.788859388435487
2262,0.7740062111017767,0.7986942054103691,0.7908533831836059,0.8009869415392056,0.8009869415392056
2452,0.785831512398503,0.7825897101932882,0.7919329895982461,0.7685091998726346,0.7685091998726346
2643,0.7851923515383811,0.7653933608986881,0.7794837350028654,0.7691140675741461,0.773374925480566
2833,0.7784680054803574,0.773665762158877,0.7788377163755005,0.7820510291663776,0.7771326469519104
3023,0.7639179718931867,0.7910416549710886,0.7819441325623607,0.7854057897790003,0.7676798645999553
3213,0.7650585964200053,0.7741489139515456,0.7826075605680868,0.7880116959064327,0.7897781093557472
