iterations,fitness,time,fevals
0,0.0244716499875,0.00160518099801,555
10,0.0274604693182,0.00372003300072,1005
20,0.0300111001218,0.005528013,1439
30,0.0321494311923,0.0069751680021,1886
40,0.033567721586,0.00842382800329,2344
50,0.0364610369844,0.0102597330042,2803
60,0.0395437658448,0.0117118940034,3258
70,0.0404647155235,0.0137183470033,3707
80,0.0391140607865,0.0156645040042,4153
90,0.0375443241125,0.0175110830023,4618
100,0.0449257931809,0.0189300630009,5078
110,0.0433592726811,0.0202931970016,5546
120,0.0467665440276,0.0217219330007,6006
130,0.0440548382009,0.0230491520015,6468
140,0.0439106405447,0.0243739790021,6924
150,0.043275851332,0.0257275280019,7379
160,0.0427394624119,0.0272019000004,7829
170,0.044233878568,0.0286579439999,8267
180,0.0428294438479,0.0300680600012,8723
190,0.0465807251718,0.0315131550014,9180
200,0.0497953250181,0.0329832450007,9643
210,0.0483570679362,0.0343784629986,10099
220,0.0475689211951,0.0357054789965,10551
230,0.0466671294249,0.0370941859983,11016
240,0.044978980996,0.0390182779993,11480
250,0.0483598597695,0.0409482180003,11928
260,0.0497894789829,0.0425985320035,12392
270,0.0497894789829,0.0439162830044,12830
280,0.0489494553139,0.0452274830022,13280
290,0.0453812956032,0.0465608480008,13736
300,0.0453556784486,0.0479188200006,14199
310,0.0447577389275,0.0492939299984,14653
320,0.0465900765154,0.0506588129974,15113
330,0.0507414375131,0.0520743159977,15566
340,0.0466422454885,0.0535514179974,16028
350,0.0442791719355,0.0549410269996,16490
360,0.0435784782311,0.0563523199999,16951
370,0.0474659830333,0.0578389090006,17412
380,0.0461120626596,0.0598772109988,17860
390,0.0453571522397,0.0618666079972,18307
400,0.0480785677169,0.0636543739965,18749
410,0.0465393096978,0.0651169699959,19195
420,0.0468330317153,0.0665288349956,19647
430,0.0442852601666,0.067953961996,20107
440,0.0482593128238,0.0693618399964,20547
450,0.0557364789529,0.0707493289956,21004
460,0.051093340277,0.0721300159967,21477
470,0.048221263898,0.0735197719951,21930
480,0.0491354702861,0.0748934009971,22379
490,0.0554139409781,0.0765511270001,22823
500,0.0530442745889,0.0778940029995,23284
510,0.0507039073793,0.0792707709988,23745
520,0.0500312174684,0.0805645409964,24203
530,0.0528781183621,0.0818946389954,24660
540,0.0528781183621,0.0833615509946,25124
550,0.0548545102239,0.0846941489945,25566
560,0.0507375638625,0.0860315229947,26025
570,0.054454188874,0.0878913729939,26491
580,0.0550767440774,0.0898507799939,26951
590,0.0558124233955,0.0914152879959,27390
600,0.0590106038071,0.0927558799958,27853
610,0.0619490783318,0.0940096489976,28300
620,0.0592862159774,0.0953699999955,28760
630,0.0543419623788,0.0966162409968,29211
640,0.0546220392496,0.0978900069967,29671
650,0.0587017571108,0.0991875349973,30125
660,0.055027184004,0.100477852997,30577
670,0.0541964446943,0.101855517998,31040
680,0.0549451795431,0.103321648996,31491
690,0.0487567685833,0.104662579994,31941
700,0.0527829779149,0.105984905993,32391
710,0.0499353575756,0.107302452994,32848
720,0.053433343948,0.108569098993,33287
730,0.0489228001561,0.109916275997,33740
740,0.0498214149429,0.111221151998,34198
750,0.0532204875372,0.112495041998,34660
760,0.0555847441686,0.113825986999,35107
770,0.0519569578777,0.115319662,35558
780,0.0507114543443,0.116654402002,36008
790,0.0508871798658,0.118041891004,36459
800,0.0524814789747,0.120021322004,36917
810,0.0492241988831,0.122108325002,37362
820,0.0480092757088,0.124176639001,37811
830,0.0484906700158,0.125926652003,38278
840,0.0512900808792,0.127238673002,38736
850,0.0523132613947,0.128602084002,39201
860,0.0509377262515,0.129933555003,39669
870,0.0565713743785,0.131254646003,40112
880,0.0541635361977,0.132506233003,40562
890,0.0568208037053,0.133861402002,41020
900,0.056790832698,0.135174112002,41479
910,0.0547727741494,0.136433003001,41927
920,0.0583947841361,0.137788857002,42389
930,0.0591006533883,0.139115264003,42840
940,0.0588122937594,0.140516205003,43300
950,0.0608901597401,0.141772225004,43757
960,0.0583637530472,0.143000451004,44212
970,0.0573745901225,0.144276742001,44670
980,0.0641214137645,0.145609729003,45132
990,0.0612878050889,0.146948212005,45587
1000,0.0513447549852,0.148194975005,46051
1010,0.0585661091383,0.149618131007,46498
1020,0.059970652334,0.151594225008,46947
1030,0.0606823895253,0.153705086006,47402
1040,0.0565674285172,0.155741332004,47855
1050,0.0538970874742,0.157183019004,48301
1060,0.055062743982,0.158525475006,48770
1070,0.0619071861808,0.159895167006,49222
1080,0.0501352947361,0.161243365004,49683
1090,0.0548310330167,0.162519233003,50133
1100,0.0560882579644,0.163779707,50591
1110,0.0520084191537,0.165210806997,51051
1120,0.0545519084613,0.166699665995,51518
1130,0.0584645439926,0.167960152994,51957
1140,0.0554707394249,0.169364744994,52407
1150,0.0519390523881,0.170699393995,52853
1160,0.0574533032676,0.172043514995,53294
1170,0.0529989731068,0.173381047993,53750
1180,0.0533067152761,0.174694093992,54202
1190,0.055464451617,0.176032068994,54658
1200,0.0521741960042,0.177468833994,55118
1210,0.0537940993717,0.178749471994,55554
1220,0.0576449173159,0.180064910994,56009
1230,0.0551797718115,0.181466990995,56468
1240,0.0559411176092,0.182810587994,56928
1250,0.0559394350203,0.184125079995,57401
1260,0.0585709495738,0.185444266997,57862
1270,0.0581028954239,0.186814205998,58316
1280,0.0550049499526,0.188088213996,58785
1290,0.0594841213984,0.189388376995,59230
