k,Genomic Enhancer (Brain) log-likelihood
2,-12.109797517419395
3,-6.182884995274972
4,-5.398340342221679
5,-4.228571776732163
6,-4.6491947735160375
7,-4.325441496654693
8,-4.259355468962148
9,-3.1369338565248794
10,-2.819583884636264
15,-2.2321203597993278
20,-1.6977489964364887
25,-0.5218040266973154
30,0.04445456126707739
35,1.3737356638134408
40,1.75774176531639
