k,Wine Data (Quality) sse (left)
2,23862.841456791404
3,19494.85669189755
4,17616.81311130845
5,15765.67863796264
6,14392.021448021082
7,13459.363344181173
8,12654.424760574544
9,11980.84113506888
10,11501.138511207993
15,9650.974359899827
20,8540.942578838312
25,7852.066623086987
30,7298.153717334812
35,6752.093007601479
40,6396.652278586422
