,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.5648852348327636,0.12811380543135228,0.009824228286743165,0.002997604815722791,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.49199999999999994,0.49999999999999994,0.49999999999999983,0.5000000000000001,0.5000000000000001,0.49839635535307514,0.0032027302449298056,271,0.4979504950495049,0.5,0.5,0.5,0.5,0.499590099009901,0.0008198019801980428
1,0.6285699844360352,0.12154134338520005,0.009885358810424804,0.0014669176054920277,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.49999999999999983,0.49999999999999994,0.49999999999999983,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.466534737580185e-16,209,0.5,0.499,0.5,0.5,0.5,0.4998,0.0004000000000000003
2,0.6499446868896485,0.1046165040494973,0.009052896499633789,0.0037467014520435396,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.49999999999999983,0.49999999999999994,0.49999999999999983,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.466534737580185e-16,209,0.5,0.5,0.5,0.5,0.5,0.5,0.0
3,0.5967921257019043,0.03377560128959697,0.009157419204711914,0.0036096605599462875,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.4879999999999999,0.49999999999999994,0.49999999999999983,0.5020000000000001,0.53,0.5039726651480637,0.013902005884484765,181,0.5098514851485147,0.5,0.5,0.5033891625615765,0.528871921182266,0.5084225137784715,0.010839117339640452
4,0.9751184940338135,0.2798833974063688,0.008849716186523438,0.0025298299110028248,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.49999999999999983,0.49999999999999994,0.49999999999999983,0.536,0.5220000000000001,0.5115603644646924,0.01487082958453617,119,0.5054257425742574,0.5,0.5,0.587064039408867,0.5160197044334977,0.5217018972833245,0.0332004663892773
5,0.94851655960083,0.0883821656624094,0.011480617523193359,0.0034438578534451525,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.5272156862745097,0.5352156862745097,0.49999999999999983,0.5000000000000001,0.5000000000000001,0.5125147170485506,0.015506512083129101,106,0.5513564356435643,0.5434059405940593,0.5,0.5,0.5,0.5189524752475247,0.023347708970373866
6,1.287344789505005,0.2801437902140388,0.013236141204833985,0.0028097428133780373,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.516627450980392,0.5254117647058822,0.552627450980392,0.5500000000000002,0.5560000000000002,0.540104024297646,0.01597101766812953,17,0.5913366336633663,0.5548316831683168,0.5553564356435643,0.5221133004926108,0.5210935960591134,0.5489463298053943,0.025955542535173907
7,1.167769479751587,0.1855329973871479,0.011664962768554688,0.003220685046178696,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.5184313725490195,0.5268235294117646,0.49999999999999983,0.5000000000000001,0.5020000000000001,0.5094702309169682,0.011110265380397335,142,0.5897623762376237,0.5462574257425742,0.5,0.5,0.5068522167487685,0.5285744037457933,0.03510414149751725
8,1.2034682273864745,0.2141267389976828,0.01355886459350586,0.006393274707383296,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.5072156862745097,0.5156078431372548,0.5664313725490195,0.516,0.5000000000000001,0.521080709276877,0.02346345291259985,73,0.5642574257425743,0.547930693069307,0.5454059405940593,0.5765615763546799,0.5,0.5468311271521241,0.02601526538253727
9,1.3506980895996095,0.2889098724676953,0.00917057991027832,0.005455077207674196,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.49999999999999983,0.49999999999999994,0.5174117647058822,0.5280000000000001,0.5580000000000002,0.52063151547635,0.021491346474431152,78,0.5,0.5,0.5306039603960395,0.537113300492611,0.5554285714285715,0.5246291664634444,0.02169491549911718
