k,GMM,Kmeans
2,0.7118451025056948,0.7118451025056948
3,0.7118451025056948,0.7118451025056948
4,0.7118451025056948,0.7118451025056948
5,0.7118451025056948,0.7118451025056948
6,0.7118451025056948,0.7118451025056948
7,0.7118451025056948,0.7118451025056948
8,0.7118451025056948,0.7118451025056948
9,0.7118451025056948,0.715261958997722
10,0.7118451025056948,0.7129840546697038
15,0.7266514806378133,0.7220956719817767
20,0.7220956719817767,0.7289293849658315
25,0.7266514806378133,0.7289293849658315
30,0.7277904328018223,0.724373576309795
35,0.734624145785877,0.7300683371298405
40,0.7471526195899773,0.7323462414578588
