k,Wine Data (Quality) BIC
2,40601.94916324746
3,39582.14586371002
4,36842.05524420746
5,36954.642597848564
6,36722.65955848247
7,36871.50610136691
8,36514.922168337034
9,36605.86626653979
10,36756.810128268306
15,37555.48158126
20,38483.497048975514
25,39989.311353146986
30,41043.480497916185
35,42565.290088674294
40,44171.36059382529
