k,Wine Data (Quality) log-likelihood
2,-7.62559513462391
3,-7.346928644560575
4,-6.738199353275996
5,-6.676798913323663
6,-6.549287500039173
7,-6.4948439267874045
8,-6.3434259721246
9,-6.27787295054557
10,-6.223831779220905
15,-5.962058797568637
20,-5.725102395871054
25,-5.599005325803546
30,-5.386253390156171
35,-5.263225254583414
40,-5.156363833207298
