k,Genomic Enhancer (Brain) BIC
2,22152.676144354657
3,12192.34243064897
4,11262.006695067303
5,9655.217769247633
6,10841.156426780033
7,10719.97034779143
8,11051.247958343238
9,9527.600282083313
10,9417.658406626822
15,10622.69583291275
20,11920.963094747194
25,12092.627103784793
30,13334.900399218908
35,13237.306159047082
40,14799.614820707491
