k,Genomic Enhancer (Brain) sse (left)
2,13732.955770645873
3,11668.70495904383
4,10213.562332914287
5,8914.31730074351
6,7999.580475776659
7,7562.612778887389
8,7087.590045617671
9,6682.796804609303
10,6375.179614029148
15,4923.2014861465295
20,4279.843986480519
25,3714.757130538078
30,3254.596428138163
35,2942.487523552816
40,2660.1186525160156
