iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.151534876756,0.15363714339,0.157387216437,0.566392479436,0.549295774648,0.551691729323,0.698652511229,0.688816855754,0.683056478405,0.029655343
10,0.08767940036,0.0901015987808,0.0900388022951,0.737661574618,0.718309859155,0.729323308271,0.798465357707,0.782608695652,0.792207792208,0.136118222
20,0.080653824912,0.0831716049627,0.0871993859454,0.760869565217,0.760563380282,0.734962406015,0.815,0.814207650273,0.795652173913,0.236397418
30,0.0778984655721,0.0807140319333,0.0870597637256,0.76821386604,0.773474178404,0.738721804511,0.817572254335,0.820465116279,0.793768545994,0.344618024
40,0.0764616756473,0.0807590262075,0.0877170819281,0.775851938895,0.762910798122,0.740601503759,0.823338735818,0.813996316759,0.79675994109,0.436195868
50,0.07561915502,0.0803286140034,0.0879672737278,0.782902467685,0.765258215962,0.739661654135,0.828974774358,0.814471243043,0.795873249816,0.527920563
60,0.0747931284354,0.0802069560469,0.0875554623661,0.78848413631,0.760563380282,0.735902255639,0.834254143646,0.811808118081,0.793534166054,0.619444177
70,0.0744441787339,0.0801397428116,0.0876593170138,0.78848413631,0.764084507042,0.734022556391,0.833718244804,0.814746543779,0.792673992674,0.71085573
80,0.0741240896411,0.0803981308459,0.0876306269739,0.789071680376,0.762910798122,0.734022556391,0.833487940631,0.812962962963,0.791758646063,0.803679233
90,0.0737133270436,0.0801885395798,0.0874027812047,0.789071680376,0.767605633803,0.735902255639,0.833719314497,0.816666666667,0.793534166054,0.896462539
100,0.0733245874958,0.0798944581001,0.0878416554937,0.790834312573,0.772300469484,0.737781954887,0.835413777161,0.821033210332,0.794399410464,0.987149051
110,0.0730764077432,0.0799617016827,0.0878910721758,0.791421856639,0.771126760563,0.740601503759,0.835572024085,0.819277108434,0.795555555556,1.07759267
120,0.0728568925402,0.0801593308198,0.0880279206818,0.792009400705,0.768779342723,0.739661654135,0.8356545961,0.817084493965,0.79435783222,1.169465849
130,0.0725724191269,0.0802013852253,0.0882917854718,0.794947121034,0.769953051643,0.735902255639,0.838051044084,0.817504655493,0.79200592154,1.259739436
140,0.0724063690393,0.0804087338648,0.0883199529289,0.794359576968,0.768779342723,0.744360902256,0.83781278962,0.817084493965,0.798816568047,1.350754398
150,0.0722653462164,0.0802363297464,0.0883212948314,0.794947121034,0.769953051643,0.74530075188,0.838425925926,0.818181818182,0.8,1.441529851
160,0.0721532003726,0.0801546058293,0.0882940371069,0.795828437133,0.771126760563,0.743421052632,0.839083121093,0.819277108434,0.79822616408,1.530213739
170,0.0720695130099,0.0801226195524,0.0883178747004,0.794653349001,0.772300469484,0.741541353383,0.838156980783,0.82037037037,0.79674796748,1.62110679
180,0.0719693787212,0.0800509953668,0.0881895179515,0.794359576968,0.773474178404,0.739661654135,0.83788791107,0.821791320406,0.795873249816,1.723683193
190,0.071894993479,0.0801050930079,0.0881533592257,0.793184488837,0.774647887324,0.737781954887,0.836886005561,0.822878228782,0.794399410464,1.813757496
200,0.0717944342871,0.0802909174516,0.0880569854652,0.793184488837,0.773474178404,0.738721804511,0.836734693878,0.821791320406,0.794682422452,1.904706446
210,0.0716484376164,0.080334279784,0.0881941806723,0.793184488837,0.773474178404,0.739661654135,0.837037037037,0.821791320406,0.795873249816,1.994576231
220,0.0715057075539,0.080392401906,0.0882309893911,0.796415981199,0.769953051643,0.735902255639,0.839322977046,0.818853974122,0.792925571113,2.084335273
230,0.0714092257308,0.0803422852512,0.0881814424319,0.796415981199,0.767605633803,0.740601503759,0.839471855455,0.816326530612,0.797058823529,2.173594381
240,0.0713291732126,0.0803349399449,0.0881571914796,0.79759106933,0.761737089202,0.741541353383,0.840472331558,0.811162790698,0.797347089167,2.262773059
250,0.0712892856254,0.0804350905316,0.0882105673773,0.796709753231,0.761737089202,0.738721804511,0.839814814815,0.811862835959,0.794682422452,2.356320033
260,0.0712142798207,0.0802098098483,0.0882419912507,0.799647473561,0.767605633803,0.737781954887,0.842275670675,0.816666666667,0.793791574279,2.447540833
270,0.0711489841888,0.080357395885,0.0883334460647,0.799059929495,0.766431924883,0.738721804511,0.841886269071,0.81591119334,0.794378698225,2.537737837
280,0.0710825182002,0.0803832221374,0.0885329711749,0.798472385429,0.768779342723,0.736842105263,0.842153704556,0.81809787627,0.79381443299,2.62830615
290,0.0710428433757,0.0803499923487,0.0886045115039,0.799353701528,0.767605633803,0.737781954887,0.842226842227,0.816666666667,0.794095940959,2.715943525
300,0.0709844454191,0.0803484547585,0.0886549346075,0.798178613396,0.765258215962,0.738721804511,0.841449342257,0.815157116451,0.794985250737,2.806159974
310,0.0709346639771,0.0803854103322,0.0887087540415,0.796709753231,0.766431924883,0.738721804511,0.84025854109,0.81591119334,0.794985250737,2.89583038
320,0.0708918675787,0.0803921718233,0.0886731145871,0.797003525264,0.765258215962,0.741541353383,0.840746715833,0.815157116451,0.797347089167,2.98684212
330,0.070837484525,0.0804068933526,0.0887767463563,0.798178613396,0.764084507042,0.741541353383,0.841668587232,0.814404432133,0.79704797048,3.078090971
340,0.0707800826762,0.0803436076171,0.0888242372177,0.797297297297,0.764084507042,0.742481203008,0.841160220994,0.814404432133,0.797636632201,3.166621213
350,0.0707522533006,0.0803030530579,0.0888669545318,0.799059929495,0.762910798122,0.744360902256,0.842323651452,0.813308687616,0.798816568047,3.257011962
360,0.0706917361745,0.0802861189295,0.0889783094993,0.799647473561,0.762910798122,0.743421052632,0.842929525564,0.813308687616,0.79792746114,3.343986138
370,0.0706567211882,0.080299617093,0.0889534297692,0.800528789659,0.765258215962,0.742481203008,0.84351233003,0.815157116451,0.797636632201,3.433308103
380,0.0706071580131,0.0803312694871,0.0890519435671,0.800235017626,0.762910798122,0.742481203008,0.843390142791,0.813653136531,0.797636632201,3.523042034
390,0.0705368809325,0.0802878079617,0.0890464130244,0.798178613396,0.761737089202,0.744360902256,0.841449342257,0.812557710065,0.798816568047,3.612378486
400,0.0705005972563,0.0802701198625,0.0890213916979,0.799353701528,0.765258215962,0.741541353383,0.842372490192,0.815498154982,0.79674796748,3.700908481
410,0.0704673399234,0.0803265766917,0.0890527008169,0.798766157462,0.764084507042,0.741541353383,0.841910916224,0.814404432133,0.79674796748,3.789762202
420,0.0704312960021,0.0803816361028,0.0890247434493,0.797884841363,0.764084507042,0.742481203008,0.841328413284,0.814404432133,0.797636632201,3.877587456
430,0.0704021552953,0.0803787913389,0.089040890362,0.797297297297,0.765258215962,0.742481203008,0.841087056656,0.815498154982,0.797636632201,3.968691664
440,0.0703779458756,0.0803869358878,0.0890582665274,0.797003525264,0.764084507042,0.741541353383,0.840820087537,0.814746543779,0.79674796748,4.059150994
450,0.0703410372499,0.0803662525661,0.0890834989231,0.79759106933,0.764084507042,0.741541353383,0.841207651533,0.814746543779,0.79674796748,4.150101207
460,0.0703098568824,0.0803375210903,0.0891256879136,0.797297297297,0.762910798122,0.741541353383,0.840867158672,0.813653136531,0.79674796748,4.239013539
470,0.0702749371332,0.0802878605639,0.0891634773642,0.796709753231,0.762910798122,0.741541353383,0.840405904059,0.813308687616,0.79674796748,4.328803668
480,0.0702324614787,0.0802803273591,0.0891853648132,0.797297297297,0.765258215962,0.739661654135,0.840867158672,0.815498154982,0.79526977088,4.420194727
490,0.0701946500344,0.0802242177273,0.0891392013,0.79759106933,0.764084507042,0.742481203008,0.841134424718,0.814746543779,0.797337278107,4.510702975
500,0.0701584727455,0.0802041041755,0.0891780510681,0.797884841363,0.764084507042,0.742481203008,0.841328413284,0.814746543779,0.797935103245,4.600591079
510,0.0701344031127,0.0801135198525,0.0891463577501,0.796415981199,0.764084507042,0.740601503759,0.839990764258,0.814746543779,0.796159527326,4.691795554
520,0.0700998775415,0.0801037441934,0.0891860374233,0.796709753231,0.764084507042,0.741541353383,0.84025854109,0.814746543779,0.797347089167,4.781170464
530,0.0700718683077,0.0800800941944,0.0892550562179,0.796122209166,0.766431924883,0.739661654135,0.839944649446,0.816927322907,0.795873249816,4.871996395
540,0.0700368511114,0.0800214642391,0.0892897570307,0.796415981199,0.769953051643,0.740601503759,0.840212128199,0.820183486239,0.797058823529,4.962849801
550,0.0700099748395,0.0799663476706,0.0893176055608,0.799353701528,0.768779342723,0.740601503759,0.842299699838,0.81876724931,0.797058823529,5.052329618
560,0.0699804917233,0.0799080181731,0.0893872333673,0.797884841363,0.772300469484,0.741541353383,0.841181902124,0.821691176471,0.797942689199,5.141677292
570,0.0699592131352,0.0799114317346,0.0894008268976,0.797297297297,0.772300469484,0.740601503759,0.840867158672,0.821691176471,0.797058823529,5.232150556
580,0.0699368643678,0.0799032627454,0.0894604535664,0.796415981199,0.771126760563,0.740601503759,0.840285780134,0.820607175713,0.797058823529,5.322136225
590,0.0699176328952,0.0798915986488,0.0894805631636,0.796122209166,0.772300469484,0.740601503759,0.839944649446,0.821362799263,0.797058823529,5.413552639
600,0.0698861627995,0.079908696386,0.0894850288343,0.796122209166,0.772300469484,0.738721804511,0.840092165899,0.821691176471,0.796187683284,5.504634345
610,0.0698753383222,0.0799128345939,0.0895016653871,0.795828437133,0.773474178404,0.739661654135,0.839824844434,0.82309807516,0.796771826853,5.595752327
620,0.0698550399515,0.0799532315615,0.0895002534761,0.795828437133,0.772300469484,0.740601503759,0.83997236933,0.822018348624,0.797653958944,5.686310918
630,0.069827373985,0.0800074814004,0.0895126905311,0.796709753231,0.771126760563,0.741541353383,0.840699815838,0.821264894592,0.798239178283,5.777548634
640,0.0697720112753,0.0800107295004,0.089611110653,0.797884841363,0.768779342723,0.741541353383,0.841984382177,0.819762122598,0.798239178283,5.869153872
650,0.069756469504,0.0799945423337,0.0896031288895,0.798178613396,0.769953051643,0.739661654135,0.841887226697,0.820512820513,0.796473181484,5.961735488
660,0.0697107646765,0.0800028579193,0.0895983292853,0.79759106933,0.769953051643,0.740601503759,0.841645598713,0.820512820513,0.797356828194,6.051994151
670,0.0697082902447,0.0800226507844,0.0896371323189,0.79759106933,0.772300469484,0.738721804511,0.841353902832,0.821691176471,0.795588235294,6.142344428
680,0.0696894313654,0.0800301078484,0.0896597824132,0.797297297297,0.772300469484,0.738721804511,0.84064665127,0.821691176471,0.79528718704,6.232330884
690,0.0696587275997,0.0800511876591,0.0897375935546,0.797297297297,0.773474178404,0.737781954887,0.840867158672,0.82277318641,0.795003673769,6.323448821
700,0.0696460960445,0.0800562012843,0.0897288247306,0.798178613396,0.772300469484,0.736842105263,0.841595572977,0.822018348624,0.794117647059,6.413659033
710,0.069623941757,0.0800396348483,0.0896945581274,0.79759106933,0.771126760563,0.738721804511,0.841426927503,0.821264894592,0.795888399413,6.504348953
720,0.069616818405,0.080069006204,0.0897283554127,0.796709753231,0.769953051643,0.736842105263,0.840332256576,0.819852941176,0.794117647059,6.594808315
730,0.0696015498156,0.080133912592,0.0897724144331,0.79759106933,0.769953051643,0.736842105263,0.84091433849,0.819852941176,0.794117647059,6.685104057
740,0.06958344386,0.0801291884517,0.0897663663976,0.79759106933,0.772300469484,0.736842105263,0.841061130334,0.822018348624,0.794117647059,6.773769518
750,0.0695647532653,0.0801006855261,0.089770532708,0.796709753231,0.772300469484,0.736842105263,0.84025854109,0.822018348624,0.794117647059,6.862831922
760,0.0695526805723,0.0801322246255,0.0897680844716,0.797297297297,0.772300469484,0.737781954887,0.840793724042,0.822018348624,0.795003673769,6.952632101
770,0.0695393495004,0.0801509495821,0.0897278542012,0.798178613396,0.773474178404,0.737781954887,0.841522491349,0.82277318641,0.795003673769,7.041917687
780,0.0695186682887,0.0801909080059,0.0897568777439,0.799059929495,0.771126760563,0.736842105263,0.842178126442,0.821264894592,0.794419970631,7.131361495
790,0.0695088062697,0.0802191221169,0.0897959527101,0.799353701528,0.771126760563,0.735902255639,0.842299699838,0.821264894592,0.793837123991,7.222734606
800,0.069497831122,0.0803016387082,0.0898857974319,0.799059929495,0.769953051643,0.735902255639,0.841959334566,0.820183486239,0.793837123991,7.312028569
810,0.0694817844678,0.0803932203797,0.0899009325162,0.799059929495,0.769953051643,0.735902255639,0.841886269071,0.820183486239,0.793837123991,7.403059235
820,0.069471257437,0.0804699704465,0.0898905746806,0.799353701528,0.769953051643,0.735902255639,0.842153917264,0.819852941176,0.793534166054,7.494807665
830,0.0694482640669,0.0804800608004,0.089874363116,0.799647473561,0.771126760563,0.734962406015,0.842494226328,0.820936639118,0.79295154185,7.589097839
840,0.0694404571813,0.0804352647658,0.0898882145302,0.799059929495,0.771126760563,0.735902255639,0.841886269071,0.820936639118,0.793534166054,7.680930265
850,0.0694173947555,0.0804566268394,0.0898528764699,0.799353701528,0.769953051643,0.735902255639,0.842153917264,0.820183486239,0.793534166054,7.774600087
860,0.0694081649141,0.0804633746873,0.0898907907262,0.799353701528,0.768779342723,0.734962406015,0.842153917264,0.819100091827,0.792647058824,7.868321812
870,0.069389402006,0.0804772060707,0.0899456528847,0.799647473561,0.768779342723,0.735902255639,0.842421441774,0.819100091827,0.793534166054,7.960856083
880,0.0693703326066,0.0804731743218,0.089952931704,0.799941245593,0.768779342723,0.735902255639,0.842688842689,0.819100091827,0.793230316409,8.05376264
890,0.069350993838,0.0804654442542,0.0899658088721,0.800235017626,0.768779342723,0.736842105263,0.842956120092,0.819100091827,0.79381443299,8.146488597
900,0.0693325712675,0.0804472610372,0.0899696194787,0.800235017626,0.771126760563,0.736842105263,0.842956120092,0.820936639118,0.79381443299,8.239487369
910,0.0693021401568,0.0803721881642,0.0900747566387,0.800822561692,0.769953051643,0.737781954887,0.843778801843,0.820183486239,0.794701986755,8.331592377
920,0.0693030684926,0.0804149387832,0.0901162132697,0.799647473561,0.771126760563,0.736842105263,0.842421441774,0.820936639118,0.79381443299,8.423138399
930,0.0692848022645,0.0804226965473,0.0901343967829,0.799647473561,0.771126760563,0.736842105263,0.842494226328,0.820936639118,0.79381443299,8.515359667
940,0.0692741169934,0.080468275348,0.0901708953249,0.799647473561,0.772300469484,0.736842105263,0.842348589921,0.821691176471,0.79381443299,8.60800912
950,0.0692615713007,0.0805513230205,0.0902718887345,0.799647473561,0.771126760563,0.735902255639,0.842348589921,0.820607175713,0.792925571113,8.699866545
960,0.0692421010063,0.0805796991464,0.0903381454002,0.800235017626,0.771126760563,0.733082706767,0.842883548983,0.820936639118,0.791483113069,8.791885962
970,0.0692304962635,0.0805623332938,0.0903195112232,0.800822561692,0.769953051643,0.734962406015,0.843418013857,0.820183486239,0.792647058824,8.884961202
980,0.0692133585696,0.0806164618366,0.090290026124,0.801116333725,0.771126760563,0.734022556391,0.843685061187,0.821264894592,0.792064658339,8.979564608
990,0.0691979362823,0.0806251788597,0.0902740223572,0.801116333725,0.771126760563,0.734022556391,0.843612843613,0.820936639118,0.792064658339,9.073505927
