iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.120578599451,0.119660035646,0.12020817348,0.611045828437,0.619718309859,0.602443609023,0.732417138238,0.73572593801,0.721160184575,0.096010991
10,0.140557538502,0.14129499181,0.141920846593,0.371327849589,0.3720657277,0.368421052632,0.0165441176471,0.0110905730129,0.0146627565982,0.978305556
20,0.118542545405,0.117094075834,0.118604344559,0.626321974148,0.62676056338,0.625939849624,0.770231213873,0.770562770563,0.769942196532,1.886136529
30,0.133849371879,0.132035552128,0.133866461896,0.48883666275,0.514084507042,0.493421052632,0.53276047261,0.54704595186,0.520035618878,2.857810603
40,0.109720156103,0.110440494354,0.110517887471,0.638366627497,0.634976525822,0.641917293233,0.772752446003,0.771491550331,0.773618538324,3.787515689
50,0.108689079786,0.107327948053,0.108612128651,0.64071680376,0.642018779343,0.631578947368,0.719945042363,0.720439963336,0.702579666161,4.739004922
60,0.105788891359,0.104840681691,0.10554839937,0.631022326675,0.636150234742,0.636278195489,0.769202499081,0.772058823529,0.772218952325,5.622780352
70,0.124000463329,0.125683158915,0.124495487619,0.552291421857,0.545774647887,0.55545112782,0.546428571429,0.540925266904,0.549952426261,6.422441472
80,0.110796296654,0.111478901436,0.110631662331,0.616039952996,0.599765258216,0.588345864662,0.682689973294,0.677388836329,0.66717325228,7.33248757
90,0.108686959526,0.108169592253,0.110649925894,0.636016451234,0.634976525822,0.631578947368,0.732339598185,0.735319148936,0.728155339806,8.291182019
100,0.104759597107,0.10468602745,0.10497334654,0.665393654524,0.663145539906,0.648496240602,0.740723878898,0.738853503185,0.723781388479,9.265536708
110,0.103804889677,0.104353800569,0.103857120082,0.649529964747,0.633802816901,0.646616541353,0.741270873997,0.725834797891,0.732193732194,10.103249931
120,0.103521195077,0.105313916958,0.105218786291,0.647179788484,0.62558685446,0.634398496241,0.735985930974,0.723330442324,0.726633872101,11.023388176
130,0.104765137351,0.105536909816,0.106514476513,0.646886016451,0.617370892019,0.640977443609,0.749374478732,0.726510067114,0.738714090287,11.864751882
140,0.10630650145,0.10750375942,0.10696915602,0.639835487662,0.639671361502,0.630639097744,0.748151191454,0.746071133168,0.735353535354,12.709511112
150,0.103409565185,0.105007958914,0.103645007158,0.655699177438,0.642018779343,0.65507518797,0.774268104777,0.76411446249,0.773875539125,13.565300232
160,0.103885826069,0.103883225005,0.104054452539,0.64982373678,0.646713615023,0.669172932331,0.761313576292,0.756669361358,0.771725032425,14.371069246
170,0.09952470022,0.0998882235067,0.0999320900826,0.695945945946,0.680751173709,0.69454887218,0.776022505951,0.763066202091,0.772886093641,15.231689494
180,0.100510437657,0.101381628855,0.101697795456,0.671269095182,0.654929577465,0.671992481203,0.758992031014,0.744791666667,0.759476223294,16.068182243
190,0.101080512439,0.100875623163,0.101581353645,0.668331374853,0.645539906103,0.666353383459,0.779535247022,0.759170653907,0.776869893149,16.938742233
200,0.104287131564,0.103150917393,0.103778072697,0.666274970623,0.652582159624,0.675751879699,0.75325803649,0.740805604203,0.756527875794,17.785350429
210,0.100241819476,0.100661723504,0.100947678902,0.677438307873,0.659624413146,0.671052631579,0.777281947262,0.761120263591,0.772727272727,18.592896333
220,0.0991157680162,0.0995308178059,0.100206540766,0.691833137485,0.672535211268,0.687969924812,0.766317665404,0.748422001803,0.761151079137,19.390179985
230,0.0978840907665,0.0983157606744,0.098778647806,0.694770857814,0.69014084507,0.697368421053,0.780291816452,0.77397260274,0.780653950954,20.238323409
240,0.100852555663,0.101242776601,0.102357355252,0.69535840188,0.678403755869,0.674812030075,0.775395278319,0.762564991334,0.76071922545,21.105382127
