iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.193917631362,0.193667890884,0.195589075882,0.373678025852,0.37323943662,0.374060150376,0,0,0,0.013343501
10,0.200662703001,0.198994354215,0.202122365112,0.373678025852,0.37323943662,0.374060150376,0,0,0,0.152015179
20,0.201176833557,0.200118840633,0.202509596968,0.373678025852,0.37323943662,0.374060150376,0,0,0,0.296605165
30,0.198854524782,0.198169549863,0.199622164812,0.373678025852,0.37323943662,0.374060150376,0,0,0,0.459181038
40,0.201336050509,0.200796276595,0.202324858641,0.373678025852,0.37323943662,0.374060150376,0,0,0,0.624554273
50,0.204013583345,0.203609586815,0.204722568432,0.373678025852,0.37323943662,0.374060150376,0,0,0,0.821251028
60,0.203072524169,0.203263639113,0.203619703731,0.373678025852,0.37323943662,0.375,0,0,0.00299850074963,0.943769478
70,0.202655293161,0.203315830178,0.203235327956,0.373678025852,0.37323943662,0.374060150376,0,0,0,1.068595933
80,0.202697561153,0.202350042918,0.203040589228,0.373678025852,0.37323943662,0.375,0,0,0.00299850074963,1.215216107
90,0.202106519323,0.202821338219,0.202558819164,0.373678025852,0.37323943662,0.375,0,0,0.00299850074963,1.367360791
100,0.202585730546,0.203670278033,0.202968817622,0.373678025852,0.37323943662,0.375,0,0,0.00299850074963,1.502341787
110,0.199069855076,0.19925154804,0.198203820531,0.373090481786,0.370892018779,0.375,0,0,0.00299850074963,1.656540975
120,0.19341738429,0.194062761333,0.193020695096,0.37250293772,0.369718309859,0.375,0.000935453695042,0,0.00299850074963,1.771626811
130,0.18835969471,0.189142333423,0.188278667044,0.369565217391,0.368544600939,0.376879699248,0.0218778486782,0.0253623188406,0.0264317180617,1.903096164
140,0.192425845889,0.192315298627,0.192725898276,0.371327849589,0.37323943662,0.377819548872,0.0210430009149,0.0255474452555,0.0293255131965,2.023806677
150,0.19294857525,0.193750019569,0.194739610639,0.373678025852,0.370892018779,0.375,0.0046685340803,0.00740740740741,0.00299850074963,2.153485067
160,0.190660333578,0.191969941855,0.19246220669,0.373678025852,0.3720657277,0.375939849624,0.00373831775701,0.00742115027829,0.0059880239521,2.276235577
170,0.191166526262,0.192653006342,0.193212403227,0.373678025852,0.369718309859,0.375,0.000937207122774,0,0.00299850074963,2.415119379
180,0.195043383255,0.196117245696,0.196744431341,0.373678025852,0.3720657277,0.375,0,0,0.00299850074963,2.543504524
190,0.204451963819,0.204889217484,0.204934768523,0.373678025852,0.37323943662,0.374060150376,0,0,0.00299401197605,2.698935819
200,0.208064558421,0.207549385724,0.208360453752,0.375146886016,0.37558685446,0.371240601504,0.0093153237075,0.0148148148148,0.00298062593145,2.831687692
210,0.208439944306,0.208419309016,0.208515339242,0.376028202115,0.37441314554,0.37030075188,0.0111731843575,0.0111317254174,0.00297619047619,2.9627127
220,0.206341044173,0.206099292862,0.206746648631,0.375146886016,0.37558685446,0.371240601504,0.00839160839161,0.00746268656716,0.00298062593145,3.095959226
230,0.203167829937,0.204170560191,0.203605580423,0.375734430082,0.37441314554,0.37030075188,0.0139211136891,0.0147874306839,0.0117994100295,3.234520976
240,0.189496648885,0.189439091531,0.190110774634,0.376909518214,0.37323943662,0.375,0.0221300138313,0.0183823529412,0.0320232896652,3.36611503
250,0.193114280437,0.192512655904,0.193417314715,0.37749706228,0.37676056338,0.376879699248,0.0203421174295,0.0148423005566,0.0177777777778,3.510306897
260,0.188638730636,0.188061439507,0.188860251447,0.378672150411,0.37558685446,0.376879699248,0.0239963082603,0.0184501845018,0.0235640648012,3.640849653
