k,Wine Data (Quality) sse (left)
2,3.497608022812244
3,3.0375752153741677
4,2.6998866546365914
5,2.3987014482216154
6,2.1572193512225297
7,1.9773355835885955
8,1.8759801563108454
9,1.794856549807165
10,1.7276198089203099
15,1.45318025503857
20,1.2864795931168669
25,1.1685823365771444
30,1.0906280793734928
35,1.0201391569607168
40,0.961074939550332
