k,Genomic Enhancer (Brain) sse (left)
2,1.3434960210947837
3,0.8689487713530324
4,0.6333150427155784
5,0.49447074461020746
6,0.4181495962050205
7,0.3702759544708945
8,0.3355434869085297
9,0.31257220702319727
10,0.283511542760877
15,0.19586495944842924
20,0.1527102531191851
25,0.12439015255064807
30,0.10065210844133549
35,0.08439861657220249
40,0.07042792280613429
