k,Genomic Enhancer (Brain) log-likelihood
2,9.33680832706205
3,9.678182077968817
4,9.744706363369405
5,9.788407445783337
6,9.883633737675561
7,9.899684576695805
8,9.927953197763019
9,9.937554846055553
10,9.950201754337515
15,10.007385346555655
20,10.0867044477891
25,10.136104705398198
30,10.227717564889545
35,10.314290649850014
40,10.353570257152267
