k,Wine Data (Quality) log-likelihood
2,17.113966235220307
3,17.392562980799468
4,17.541579906819397
5,17.58959338086665
6,17.65149477948579
7,17.715147135018714
8,17.76944532868138
9,17.82548124616741
10,17.834006726799547
15,17.96899473785619
20,18.068632795421202
25,18.1521888491458
30,18.209195265276332
35,18.306787170288686
40,18.344911240809697
