,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
171,2.244090223312378,0.13509351798879352,0.005124568939208984,0.0017386914744600829,0.001,"(50,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 8}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
172,2.498503875732422,0.3815002413493661,0.0064770221710205075,0.0038448415740147375,0.001,"(50,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 9}",0.5,0.5036462008939072,0.5,0.5066855434953594,0.5,0.502066955114237,0.002706769683769252,39,0.5,0.50504970022477,0.5000000000000001,0.5060582440675702,0.5,0.502221588858468,0.002739507556548966
173,2.4996833324432375,0.5006521962246434,0.005524396896362305,0.0007510483296852888,0.001,"(50,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
174,2.790152072906494,0.35243850634674445,0.004999113082885742,0.0025543248274182183,0.001,"(50,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
175,3.293533706665039,0.30601119637635693,0.01850132942199707,0.016792069972729914,0.001,"(50,)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
176,2.898631238937378,0.4159515966224807,0.006653785705566406,0.002916444562174691,0.001,"(50,)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 25}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
177,3.387343502044678,0.4921266650112451,0.005729198455810547,0.0032833724955277175,0.001,"(50,)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 30}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
178,3.9628532409667967,0.4768805718479504,0.016213178634643555,0.011495084208102033,0.001,"(50,)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 35}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
179,4.426693391799927,0.2661362954371388,0.008010292053222656,0.004884999011030541,0.001,"(50,)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 40}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
180,0.6700124263763427,0.129441387672348,0.04767961502075195,0.01494230969673744,0.001,"(25,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 2}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
181,0.9281797409057617,0.14860112596988417,0.05004773139953613,0.03336149596779357,0.001,"(25,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 3}",0.5,0.4999999999999999,0.5059855277646689,0.5142756016989145,0.5,0.5040506709326658,0.005612267320202604,24,0.5,0.5,0.5424996117455331,0.5369937702359212,0.5,0.5158986763962908,0.01954950883791868
182,0.9992043972015381,0.1125013686461308,0.05314350128173828,0.02392419719652477,0.001,"(25,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 4}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
183,1.1682029247283936,0.22855576754018533,0.05615081787109375,0.01953200869045939,0.001,"(25,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 5}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
184,1.302492618560791,0.23327904171334266,0.04551773071289063,0.024554750876690987,0.001,"(25,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 6}",0.5,0.49748294518936714,0.4944863929526506,0.5,0.49846625766871167,0.4980874758652765,0.0020392005056407638,298,0.5,0.5028457743742591,0.4993591343989526,0.5,0.5,0.5004409817546424,0.001227747202656859
185,1.4561758041381836,0.14772768053639831,0.07253623008728027,0.03340674354264951,0.001,"(25,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 7}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
186,1.5166574478149415,0.22297933391396643,0.07750329971313477,0.012990752583941785,0.001,"(25,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 8}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
187,1.5753718852996825,0.21834230987468584,0.06758651733398438,0.02022563565662142,0.001,"(25,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 9}",0.5036462008939073,0.4999999999999999,0.5,0.5,0.5,0.5007303595036914,0.0014593191805087878,43,0.5035368066929308,0.5,0.5000000000000001,0.5,0.5,0.5007073613385862,0.0014147226771722976
188,1.5283281803131104,0.25750365432254985,0.06977043151855469,0.023967533198785734,0.001,"(25,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 10}",0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.968877335291441e-17,47,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
