k,Genomic Enhancer (Brain) BIC
2,-16266.660137041892
3,-16798.335977697825
4,-16847.376156924904
5,-16856.338791707418
6,-16955.77969433381
7,-16916.18850171701
8,-16898.051734374687
9,-16847.135762840026
10,-16801.5672678468
15,-16563.0993261001
20,-16363.50133818427
25,-16111.365860864093
30,-15933.355712449142
35,-15746.495719957966
40,-15476.588380698968
