k,Wine Data (Quality) BIC
2,-88765.38557129557
3,-89997.195800039
4,-90553.63600923968
5,-90583.64622675878
6,-90686.04030714658
7,-90797.560374969
8,-90860.32655112362
9,-90932.14974384566
10,-90756.34853968518
15,-90358.72600723653
20,-89776.85951718951
25,-89111.17362312626
30,-88307.1110179227
35,-87714.57998077122
40,-86812.10259025086
