iterations,fitness,time,fevals
0,13.0,1.1356e-05,11
10,12.0,2.0188e-05,21
20,17.0,2.8013e-05,31
30,18.0,3.6295e-05,41
40,18.0,4.594e-05,51
50,18.0,5.57320000001e-05,61
60,19.0,6.4672e-05,71
70,24.0,7.3094e-05,81
80,24.0,8.2099e-05,91
90,24.0,9.1957e-05,101
100,25.0,0.000101836,111
110,25.0,0.000111468,121
120,26.0,0.000121461,131
130,27.0,0.000130502,141
140,27.0,0.000151872,151
150,27.0,0.000161577,161
160,27.0,0.000169792,171
170,27.0,0.000179195,181
180,27.0,0.000188353,191
190,27.0,0.000197033,201
200,27.0,0.000206748,211
210,27.0,0.000215377,221
220,27.0,0.000223454,231
230,27.0,0.0002343,241
240,27.0,0.000242909,251
250,28.0,0.000249582,261
260,28.0,0.000259616,271
270,28.0,0.000267999,281
280,28.0,0.000275721,291
290,28.0,0.000285279,301
300,28.0,0.000295512,311
310,28.0,0.000306349,321
320,28.0,0.000316503,331
330,28.0,0.000327911,341
340,28.0,0.000338293,351
350,28.0,0.000347273,361
360,29.0,0.000357271,371
370,29.0,0.000367957,381
380,29.0,0.000377097,391
390,30.0,0.000387775,401
400,30.0,0.000398483,411
410,30.0,0.000409371,421
420,31.0,0.000419143,431
430,31.0,0.000428197,441
440,31.0,0.000437041,451
450,31.0,0.000447279,461
460,31.0,0.000457294,471
470,31.0,0.000466625,481
480,31.0,0.000475449,491
490,31.0,0.00048731,501
500,31.0,0.000497043,511
510,31.0,0.000507345,521
520,31.0,0.000516443,531
530,31.0,0.000526961,541
540,31.0,0.000536014,551
550,32.0,0.00054538,561
560,32.0,0.000554544,571
570,33.0,0.000563826,581
580,34.0,0.00057282,591
590,34.0,0.000582384,601
600,34.0,0.000591746,611
610,34.0,0.000602524,621
620,34.0,0.000612266,631
630,34.0,0.000622128,641
640,34.0,0.000630826,651
650,34.0,0.000639888,661
660,34.0,0.000648341,671
670,34.0,0.000657508,681
680,34.0,0.000667031,691
690,34.0,0.000675111,701
700,34.0,0.000685871,711
710,34.0,0.000697579,721
720,34.0,0.000706565,731
730,34.0,0.000716269,741
740,34.0,0.000725752,751
750,34.0,0.000735405,761
760,35.0,0.000745684,771
770,35.0,0.000754694,781
780,35.0,0.00076445,791
790,35.0,0.000774205,801
800,35.0,0.000784252,811
810,35.0,0.000793,821
820,35.0,0.000803313,831
830,35.0,0.000812641,841
840,37.0,0.000822899,851
850,37.0,0.000831223,861
860,38.0,0.000839482,871
870,41.0,0.000848706,881
880,41.0,0.000858778,891
890,41.0,0.000868493,901
900,41.0,0.000877592,911
910,41.0,0.000886085,921
920,41.0,0.000895039,931
930,41.0,0.000904725,941
940,41.0,0.000914319,951
950,42.0,0.000925498,961
960,44.0,0.000935296,971
970,44.0,0.00094453,981
980,44.0,0.000953633,991
990,44.0,0.00096295,1001
1000,44.0,0.000973159,1011
1010,45.0,0.000981885,1021
1020,46.0,0.000991439,1031
1030,46.0,0.001002311,1041
1040,46.0,0.001011965,1051
1050,46.0,0.001019255,1061
1060,46.0,0.001027829,1071
1070,48.0,0.001036796,1081
1080,52.0,0.001045293,1091
1090,52.0,0.001055089,1101
1100,52.0,0.001064674,1111
1110,53.0,0.001074377,1121
1120,53.0,0.001085272,1131
1130,53.0,0.001094903,1141
1140,53.0,0.001105537,1151
1150,53.0,0.001116006,1161
1160,53.0,0.001125965,1171
1170,53.0,0.001135364,1181
1180,53.0,0.001144422,1191
1190,53.0,0.001152965,1201
1200,53.0,0.001163092,1211
1210,53.0,0.00117219,1221
1220,54.0,0.001184161,1231
1230,59.0,0.001196483,1241
1240,59.0,0.001209439,1251
1250,59.0,0.001223765,1261
1260,59.0,0.001235038,1271
1270,59.0,0.001248702,1281
1280,59.0,0.001260299,1291
1290,59.0,0.001276726,1301
1300,59.0,0.001290902,1311
1310,59.0,0.001303181,1321
1320,59.0,0.001314184,1331
1330,59.0,0.001329495,1341
1340,59.0,0.001341818,1351
1350,60.0,0.001352781,1361
1360,60.0,0.001364241,1371
1370,61.0,0.001374681,1381
1380,61.0,0.00138454,1391
1390,61.0,0.001398428,1401
1400,61.0,0.001412786,1411
1410,61.0,0.001423882,1421
1420,61.0,0.001435747,1431
1430,61.0,0.001449202,1441
1440,61.0,0.001462987,1451
1450,61.0,0.001474401,1461
1460,61.0,0.001486466,1471
1470,61.0,0.001499555,1481
1480,61.0,0.001513406,1491
1490,61.0,0.001526526,1501
1500,61.0,0.001541285,1511
1510,61.0,0.001555316,1521
1520,61.0,0.001572039,1531
1530,61.0,0.001583601,1541
1540,61.0,0.001598574,1551
1550,61.0,0.001608778,1561
1560,61.0,0.001618581,1571
1570,61.0,0.001628083,1581
1580,61.0,0.001641525,1591
1590,61.0,0.001654301,1601
1600,62.0,0.001665947,1611
1610,62.0,0.001679436,1621
1620,62.0,0.001693229,1631
1630,62.0,0.00171498,1641
1640,62.0,0.00172806,1651
1650,62.0,0.001741144,1661
1660,62.0,0.001752697,1671
1670,62.0,0.001764378,1681
1680,62.0,0.001775404,1691
1690,62.0,0.001789868,1701
1700,62.0,0.001801833,1711
1710,62.0,0.001812235,1721
1720,62.0,0.001822334,1731
1730,62.0,0.001835871,1741
1740,62.0,0.001851066,1751
1750,63.0,0.001863878,1761
1760,67.0,0.001882004,1771
1770,67.0,0.001893632,1781
1780,67.0,0.001905564,1791
1790,67.0,0.001918702,1801
1800,67.0,0.001928628,1811
1810,73.0,0.001941227,1821
1820,73.0,0.001954285,1831
1830,73.0,0.001966578,1841
1840,73.0,0.001977142,1851
1850,74.0,0.001990485,1861
1860,74.0,0.002002585,1871
1870,74.0,0.002015063,1881
1880,74.0,0.002025634,1891
1890,74.0,0.002039023,1901
1900,74.0,0.002052218,1911
1910,74.0,0.002065983,1921
1920,74.0,0.002076073,1931
1930,75.0,0.002087918,1941
1940,75.0,0.002101318,1951
1950,75.0,0.00211615,1961
1960,75.0,0.002129191,1971
1970,75.0,0.002144452,1981
1980,76.0,0.002156525,1991
1990,76.0,0.002167429,2001
2000,76.0,0.002184242,2011
2010,77.0,0.002196244,2021
2020,78.0,0.002211759,2031
2030,78.0,0.002225975,2041
2040,79.0,0.002238619,2051
2050,79.0,0.002252195,2061
2060,79.0,0.002263201,2071
2070,80.0,0.002273579,2081
2080,80.0,0.002285972,2091
2090,80.0,0.00229801,2101
2100,80.0,0.002308721,2111
2110,82.0,0.002320132,2121
2120,85.0,0.002331288,2131
2130,86.0,0.002342061,2141
2140,87.0,0.002356819,2151
2150,87.0,0.002370055,2161
2160,87.0,0.002382397,2171
2170,87.0,0.002393383,2181
2180,87.0,0.002406383,2191
2190,87.0,0.002418294,2201
2200,87.0,0.002432159,2211
2210,90.0,0.00244521,2221
2220,90.0,0.002457553,2231
2230,90.0,0.002470473,2241
2240,90.0,0.002481624,2251
2250,90.0,0.002496418,2261
2260,90.0,0.002507368,2271
2270,90.0,0.002519727,2281
2280,90.0,0.002533556,2291
2290,90.0,0.002547009,2301
2300,90.0,0.002560627,2311
2310,92.0,0.002573089,2321
2320,92.0,0.002582308,2331
2330,92.0,0.002596332,2341
2340,92.0,0.002608951,2351
2350,92.0,0.002619945,2361
2360,92.0,0.00263356,2371
2370,92.0,0.002647032,2381
2380,92.0,0.002659612,2391
