iterations,fitness,time,fevals
0,15.0,1.64269999999e-05,11
10,19.0,2.96419999999e-05,21
20,19.0,4.25089999999e-05,31
30,20.0,5.74179999999e-05,41
40,20.0,7.09369999998e-05,51
50,20.0,8.24529999999e-05,61
60,20.0,9.80209999999e-05,71
70,20.0,0.000112535,81
80,20.0,0.000128752,91
90,21.0,0.000140187,101
100,22.0,0.000152115,111
110,22.0,0.000162706,121
120,22.0,0.000176712,131
130,23.0,0.000190173,141
140,23.0,0.000202682,151
150,23.0,0.000217044,161
160,23.0,0.000228729,171
170,23.0,0.000242948,181
180,23.0,0.000255742,191
190,23.0,0.00026866,201
200,23.0,0.000281875,211
210,24.0,0.000295441,221
220,24.0,0.000306274,231
230,24.0,0.00032014,241
240,25.0,0.000333021,251
250,27.0,0.000345815,261
260,29.0,0.000357852,271
270,29.0,0.000369946,281
280,29.0,0.000383147,291
290,29.0,0.000396729,301
300,29.0,0.000409625,311
310,29.0,0.00042636,321
320,29.0,0.000439658,331
330,29.0,0.000453147,341
340,29.0,0.000465987,351
350,30.0,0.000478449,361
360,30.0,0.000489853,371
370,30.0,0.000502376,381
380,30.0,0.000515057,391
390,30.0,0.000527117,401
400,30.0,0.000541206,411
410,30.0,0.00056,421
420,30.0,0.000572976,431
430,30.0,0.000585358,441
440,31.0,0.000597068,451
450,31.0,0.000609576,461
460,31.0,0.000623395,471
470,32.0,0.000636534,481
480,32.0,0.000651985,491
490,33.0,0.000663172,501
500,33.0,0.000674239,511
510,33.0,0.00068738,521
520,33.0,0.000700239,531
530,33.0,0.000715904,541
540,33.0,0.000730925,551
550,34.0,0.000742709,561
560,34.0,0.000754739,571
570,34.0,0.000767824,581
580,34.0,0.000780801,591
590,34.0,0.000793188,601
600,34.0,0.000805711,611
610,34.0,0.000817929,621
620,34.0,0.000831158,631
630,34.0,0.000844093,641
640,34.0,0.00085616,651
650,34.0,0.000868004,661
660,34.0,0.000881399,671
670,35.0,0.000895622,681
680,35.0,0.000908072,691
690,35.0,0.000923546,701
700,35.0,0.000939911,711
710,35.0,0.000953861,721
720,35.0,0.000969934,731
730,35.0,0.000991361,741
740,35.0,0.001014085,751
750,35.0,0.001032307,761
760,35.0,0.001049956,771
770,35.0,0.001067645,781
780,35.0,0.001085126,791
790,35.0,0.00110191,801
800,35.0,0.001119056,811
810,35.0,0.00113652,821
820,35.0,0.001153831,831
830,35.0,0.001171485,841
840,35.0,0.001189171,851
850,35.0,0.001206437,861
860,35.0,0.001223463,871
870,35.0,0.001240828,881
880,35.0,0.001258412,891
890,35.0,0.001275269,901
900,35.0,0.001291869,911
910,35.0,0.001308858,921
920,35.0,0.001326516,931
930,35.0,0.00134354,941
940,35.0,0.001361092,951
950,35.0,0.00137875,961
960,35.0,0.00139674,971
970,35.0,0.001414277,981
980,35.0,0.001430726,991
990,35.0,0.001447623,1001
1000,35.0,0.00146441,1011
1010,35.0,0.001482408,1021
1020,35.0,0.001500333,1031
1030,35.0,0.001518074,1041
1040,35.0,0.001535986,1051
1050,35.0,0.001553607,1061
1060,35.0,0.001570169,1071
1070,35.0,0.001587957,1081
1080,35.0,0.001606424,1091
1090,35.0,0.001624531,1101
1100,35.0,0.001642271,1111
1110,35.0,0.001660312,1121
1120,35.0,0.001678487,1131
1130,35.0,0.001696613,1141
1140,35.0,0.00171458,1151
1150,35.0,0.001731928,1161
1160,35.0,0.001749655,1171
1170,35.0,0.001767732,1181
1180,35.0,0.001785574,1191
1190,35.0,0.001803679,1201
1200,35.0,0.001821617,1211
1210,35.0,0.001839212,1221
1220,35.0,0.001856861,1231
1230,35.0,0.001875754,1241
1240,35.0,0.001893734,1251
1250,35.0,0.001911219,1261
1260,35.0,0.001929221,1271
