k,Wine Data (Quality) BIC
2,18898.284090156158
3,18412.47365889567
4,18353.460673854115
5,18113.115648184412
6,18084.268543636084
7,18132.02072514883
8,18154.624723779787
9,18165.986755567406
10,18189.585180041155
15,18435.904087097366
20,18653.568569209387
25,19015.649758026688
30,19294.050143176555
35,19542.322675745036
40,19700.211560938507
