k,Wine Data (Quality) log-likelihood
2,-3.597244479424434
3,-3.4889432229322352
4,-3.462529427341598
5,-3.4013243729965192
6,-3.3806983518673603
7,-3.3747690471735567
8,-3.36401468820466
9,-3.351103390087003
10,-3.3405398265599313
15,-3.3123434181124964
20,-3.278649230512301
25,-3.2726635438148843
30,-3.250622445822871
35,-3.2228008695919117
40,-3.177637841447098
