k,Genomic Enhancer (Brain) sse (left)
2,2295.148334649467
3,1741.3431452998707
4,1400.1142126324737
5,1211.8184237111675
6,1026.0288115497885
7,864.872815761524
8,709.3562967992746
9,607.228940900472
10,533.7346933573222
15,361.22744223954095
20,275.36095492458713
25,220.99884971619107
30,178.93879819026034
35,148.69243389672135
40,118.14929554831158
