k,Genomic Enhancer (Brain) BIC
2,1051.7137140484788
3,-151.023737954892
4,278.5868451555562
5,-232.31397200607063
6,-247.8336577505587
7,-244.91629959315287
8,-183.36216874660442
9,-159.80504740529386
10,-187.25915498684924
15,-326.4003437410297
20,-289.4674360326853
25,-222.46760758107212
30,-50.035419995580014
35,187.6254906959416
40,222.8819053493039
