k,Genomic Enhancer (Brain) log-likelihood
2,-0.48699428407349676
3,0.255831542183848
4,0.06907420493674013
5,0.41791561499719204
6,0.4846493192392279
7,0.5408835679562671
8,0.5637255771009017
9,0.608205974346469
10,0.6817360463772675
15,1.0504516974460683
20,1.3188973619188982
25,1.5702206341689098
30,1.761502699622863
35,1.9156385674082343
40,2.1850389545775233
