k,Wine Data (Quality) sse (left)
2,4420.979336275617
3,3052.2868371554846
4,2410.6380533138185
5,2132.91634901999
6,1866.2625157586767
7,1669.7813076666775
8,1550.63739468158
9,1454.0010543554927
10,1360.713487698897
15,1029.222231123048
20,858.8047177214015
25,739.8281490924842
30,654.306575870578
35,590.3670076065174
40,533.261192546634
