k,Wine Data (Quality) sse (left)
2,12162.746921759408
3,8184.510382448142
4,6317.984829725055
5,5467.113808775066
6,4896.006731241257
7,4346.004141654379
8,3987.6245534591917
9,3708.2153250466326
10,3495.821284297411
15,2706.8234852652404
20,2243.8557820219726
25,1983.0446238524053
30,1748.5538514558468
35,1581.97172736943
40,1434.2698388381023
