k,Genomic Enhancer (Brain) sse (left)
2,5576.061086969041
3,4373.674957428948
4,3584.668314615461
5,3180.3982885161204
6,2820.1140518899074
7,2569.493976852417
8,2388.280479441781
9,2223.052324146751
10,2107.3776628267397
15,1491.932413036517
20,1131.4788598336766
25,915.2441392796127
30,780.5485177479131
35,680.2662948520328
40,597.8619976743878
