k,Genomic Enhancer (Brain) BIC
2,7648.697905710186
3,6750.461868008804
4,6668.907102036466
5,6594.2221764658625
6,6597.785231014676
7,6645.310791636519
8,6815.4426778076495
9,6697.229600976611
10,6689.241076776773
15,6807.591430521787
20,6955.411960418458
25,7298.471642380951
30,7300.5162822326865
35,7700.189470330579
40,7906.778759244498
