k,Genomic Enhancer (Brain) log-likelihood
2,-4.243818994586998
3,-3.6743994407111953
4,-3.5700603377061473
5,-3.469633444497075
6,-3.413766904431179
7,-3.382935960078853
8,-3.421926385629311
9,-3.2967112513835453
10,-3.2342663635109004
15,-3.01218598721385
20,-2.8068881713676297
25,-2.712774382893746
30,-2.4244606843340084
35,-2.362586933522653
40,-2.1907565203058446
