k,Wine Data (Quality) log-likelihood
2,-4.971307123121876
3,-4.917181545350282
4,-4.866178374591513
5,-4.8518861446666515
6,-4.818162547256006
7,-4.825370233913034
8,-4.774115794430823
9,-4.760409535943072
10,-4.752458493255794
15,-4.734862429389343
20,-4.706608372335943
25,-4.688682574144733
30,-4.665152393653699
35,-4.654816181856031
40,-4.632697195908697
