k,Wine Data (Quality) BIC
2,26059.898589107226
3,25856.451795338526
4,25669.27898692067
5,25673.44360212914
6,25576.331930001706
7,25692.554110434983
8,25504.071689430544
9,25511.29038776924
10,25548.505270859994
15,25850.07317387229
20,26096.09161639421
25,26395.94094410586
30,26666.58023127083
35,27005.986483265628
40,27283.980916392356
